SIDBURY-COURT-HOUSE,,,,,,,,,,
Grid ref,SY138916,Long,-3.22131,Lat,50.71841,Elevation,200,ft,,
Station no,1813/2,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,9.19,2.58,4.29,4.15,4.31,7.13,0.86,1.16
February,,,1.49,0.81,2.06,2.58,3.02,1.66,1.86,6.06
March,,,1.63,0.1,0.94,1.63,8.84,1.11,1.56,1.38
April,,,1.13,2.34,0.62,2.44,2.7,2.71,1.76,2.5
May,,,2.52,0.71,4.61,7.27,4.09,2.74,2.03,1.98
June,,,1.86,2.41,3.1,2.96,2.34,2.46,0.48,1.33
July,,,3.37,3.19,1.95,1.5,2.62,1.91,1.97,5.12
August,,,2.26,4.24,2.42,4.93,1.67,3.8,1.5,4.79
September,,,3.53,1.9,3.63,6.47,1.59,1.47,3.9,4.42
October,,,4.75,4.94,4.74,1.65,1.32,3.1,6.09,2.62
November,,0.93,2.28,6.32,1.09,6.47,2.42,2.63,4.26,7.13
December,,4.18,4.93,3.6,5.29,4.93,3.32,6.7,1.56,4.09
Total,,,38.94,33.14,34.74,46.98,38.24,37.42,27.83,42.58
,,,,,,,,,,
1942 Gauge moved 3.25 miles from Salcombe Hill Stn No 1804/5,,,,,,,,,,
1950 Record ceased owing to bereavement and leaving Court House,,,,,,,,,,
