MALLERSTANG,,,,,,,,,,,,
Grid ref,NY782006,Long,-2.337301,Lat,54.400395,,,,,,,
Station no,3659/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,8.41,4.75,3.82,,,
February,,,,,,,4.29,6.17,1.28,,,
March,,,,,,,4.21,1.05,3.17,,,
April,,,,,,,1.03,1.71,,,,
May,,,,,,2.52,2.67,5.79,,,,
June,,,,,,3.08,1.74,4.09,,,,
July,,,,,,3.24,6.07,4.13,,,,
August,,,,,,8.91,6.74,5.95,,,,
September,,,,,,2.96,4.12,6.55,,,,
October,,,,,,5.17,7.16,5.07,,3.91,,
November,,,,,,1.68,1.90,1.37,,9.96,,
December,,,,,,5.44,4.95,4.80,,7.20,,
Total,,,,,,,53.29,51.43,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.00,53.29,51.43,8.27,21.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
