"CLEISH HILLS (ROSCOBIE RES)",,,,,,,,,,,,
Grid ref,NT090934,Long,-3.465402,Lat,56.124629,,,,,,,
Station no,5479,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,2.25,3.20,3.66,2.25,2.28,4.70,1.59,1.42,4.70,,
February,2.93,0.54,1.27,3.57,1.51,2.42,3.51,2.60,0.92,2.40,,
March,3.25,3.34,1.79,3.13,2.97,1.16,3.48,3.06,2.00,1.75,,
April,2.33,1.58,0.63,1.27,1.48,0.47,1.90,1.72,2.80,2.00,,
May,2.58,1.03,2.41,5.59,3.08,2.25,2.28,2.75,1.10,3.10,,
June,2.53,3.48,2.44,3.26,1.83,3.01,2.10,4.98,3.40,1.70,,
July,5.41,2.55,1.63,2.93,0.86,5.57,5.10,6.40,4.50,4.30,,
August,3.91,4.32,5.80,4.92,0.85,6.10,4.90,3.50,0.90,5.90,,
September,2.38,2.40,1.68,4.68,2.62,3.30,2.20,4.79,1.10,2.70,,
October,0.93,2.28,4.67,8.54,2.80,2.60,3.40,3.20,2.70,6.10,,
November,5.26,2.60,1.65,4.84,1.77,0.60,2.00,1.60,6.90,3.85,,
December,3.62,3.20,5.22,4.49,6.07,3.80,-999.00,7.30,5.10,4.30,,
Total,39.44,29.57,32.39,50.88,28.09,33.56,40.82,43.49,32.84,42.80,,
Calc annual,39.44,29.57,32.39,50.88,28.09,33.56,35.57,43.49,32.84,42.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,5.25,0.00,0.00,0.00,,
