ROTHESAY (COTTON MILLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS093649,Long,-5.046306,Lat,55.84,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.9,,,,,1.36,1.24,1.85,1.03,9,2.5,7.3,3.5,1.4,4.2,8.4,5.9,3.6,5.7,4.9,5.7,5.8,3.15,3.8,8.9,4.4,8.8,8.2,7.2,7,0.7,2.9,5.2,3.7,5.5,5.7,5,8.2,6.4,3.4,5.6,10.4,3.9,7.6,6.9,4.1,4,8.8,7.1,5,7.5,,,,
February,,,,,,2.48,,,,,3.46,4,2.66,5.07,3.3,6.05,2.9,6.3,1.8,4.7,2.8,6.9,5.8,2,6.1,2.7,3.6,2,8.4,5.1,8.9,4.1,6.2,2.4,4,1,4.1,3.7,1.1,5.6,4.6,3.3,2.7,2.9,3,4.2,4.8,2.3,5.9,6,5.5,7,5.6,1.7,1.8,1.4,,,,
March,,,,,,2.04,,,,,4.18,7.2,4.86,1,4,4.3,6,1.6,5.2,5.6,0.9,8.2,5.8,2.4,4.7,3.4,5.25,1.8,4.5,1.5,2.1,6.2,0.8,1.5,2.7,4,0.6,4.5,2.8,6.4,5.6,6.3,3.3,2.3,5,2.6,4.2,2.1,7.4,1.6,1.2,4.1,3.8,2.3,3.9,2.1,,,,
April,,,,,,2.01,,,,,3.96,1.84,2.2,2.02,0.6,1.6,3.7,2.9,2.6,2,1.7,4.5,0,4.7,2.7,3.35,2.2,3.3,1.95,2.5,5.1,1.4,1.4,2,1.1,2.6,2.1,3.3,3.7,4.4,2,0.2,3.5,4.9,2.2,0.8,1.7,6.9,4,2.2,2.2,4,1,0.1,2.5,1.2,,,,
May,,,,,,2.25,,,,,4.1,1.86,1.21,2.03,2.1,5.8,0.2,2.2,1.1,1.9,3.8,4,2.9,3,0.1,1.1,2.5,3.1,2.5,4.4,2.7,1.1,2.7,1.1,3.6,2.45,4.1,3,5.1,0.4,3.5,1.7,5.7,4.1,1.6,2.5,2.5,3.2,3.2,0.4,3.3,0.9,3.4,3,1.9,2,,,,
June,,,,,,2.13,,,,,2.48,2.5,2.5,3.08,4.2,1.7,3.6,2.2,5.1,3,4.2,4.4,3,2.4,4.9,4.55,4.95,2.1,4.1,2.4,3.2,3.7,4.5,3.3,5.1,3.4,6,2.4,5.2,1.5,4.7,3.5,3.8,4,3.2,1.3,2.5,2,1.7,2.2,2.1,3.6,8.5,0.4,1,2.5,,,,
July,,,,,,0.2,,,,,5.79,3.12,2.02,1.9,2.7,4.6,7.5,2.4,5.3,3.4,4.9,3.7,3,5,4.1,3.5,8.45,1.85,6.2,5,3.5,4.6,4.8,4.4,2.3,2,2.7,2.5,4.3,3.6,2.2,4.1,6.1,0.2,3.2,2.1,3.6,4.2,1.4,4,2.1,4.1,5.1,8.3,2,2.3,,,,
August,,,,,,2.95,,,,,4.32,4.52,2.8,2.04,3.5,5.2,3.7,3.5,5.9,5.1,5.5,6.2,3.2,4.5,3.2,2.2,5.1,2.1,4.8,3.8,5.6,6.3,3,3.5,3.4,5.7,4.5,2.5,3.2,4.8,5.3,10.5,4.3,6.2,1.7,7.4,7.6,4.6,5.5,1.3,1.7,4,5.5,6.7,4.5,3.6,,,,
September,,,,,,3.57,,,,,8.43,3.15,3,6.2,3.1,6,7.9,3.2,4,7.8,7.1,3.8,2.2,2.9,1.8,4.5,3.3,4.3,2.9,2.3,2.4,1.5,1.3,3.7,3,2.1,2.7,3,3.2,7.3,2.5,6.3,2.9,5.8,6,1,6.1,4.2,2,8.2,3,2.5,8.9,5.2,7.1,4.2,,,,
October,,,,,,4.88,,,,,2.56,8.6,4.9,5.7,3.8,3.9,5.3,6.2,5,5.7,2,7,1.5,6.7,2.4,7.7,5.55,5.35,5,3.6,3.8,5,3,8.2,6.8,5.2,3.4,3.6,5.5,3.3,5.7,5.2,8.3,4.7,2.6,5,4.2,5.8,6.2,1.6,6,4.6,4.9,8,8.3,6,,,,
November,,,,,,5.66,,,,,5.28,6.22,5.25,5.7,3.3,7.1,6.2,6.5,3,3.7,4.4,4.3,3.2,6,3.8,7.35,6,5.8,5.8,8.7,4.8,1.6,5.2,4.7,3.3,1.7,3,4.3,1.7,4.1,3.2,6,3.3,4.3,5.8,3.8,5.1,1.5,5.5,6.3,3.3,4.8,8.2,3.8,6,4,,,,
December,,,,,,3.16,,,,,3.57,6.55,6,10.1,3.5,3.7,5.9,4.7,4.5,4.5,5.8,7,6.6,2.7,0.4,6.4,1.3,7.4,4.4,2.8,4.3,2.8,10.2,1,8.4,3.65,6.3,5,6.1,4,3.2,4.2,7.4,6.9,3,5,6,3.7,6.8,7,3.6,5.4,6.5,3.1,1.7,4.4,,,,
Total,,,,,,35.23,,,,,49.49,50.8,39.25,45.87,43.1,52.45,60.2,45.2,44.9,51.6,51.5,65.9,40.8,48,39.1,52.45,54,42.25,54.35,51,50.8,47.1,51.3,43,50.7,34.5,42.4,43,45.6,50.9,48.2,56.3,59.5,52.7,40.7,41.3,58.7,44.4,57.2,47.7,38.1,49,70.2,49.7,45.7,41.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another potential location put forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by the Volunteers is NS085641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn 76-667443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
