WELSHPOOL-POOL-QUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ257120,Long,-3.1009619,Lat,52.700555,Elevation,230,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.1,1.05,0.8,4.71,2.31,1.82,2.16,2.78,5.12,0.63,2.72,0.71,4.33,3.32,1.97,1.47,3.19,2.57,0.64,,,,
February,,,,,,,,0.51,0.44,1.25,0.58,0.02,1.43,3.42,2.69,0.17,0.54,2.73,1.79,2.1,3.58,0.77,1.04,1.84,3.31,1.2,,,,
March,,,,,,,,1.33,1.92,2.44,1.13,1.28,1.07,0.57,1.78,1.81,3.61,4.37,0.59,1.6,0.87,3.26,1.67,4.88,1.25,4.52,,,,
April,,,,,,,,1.37,1.93,6.09,1.07,2.04,1,0.38,1.81,1.99,1.19,2.38,1.26,2.18,1.09,2.4,1.57,1.26,1.02,1.42,,,,
May,,,,,,,,1.86,0.72,3.55,2.79,3.59,2.81,2.06,3.55,0.43,0.2,1.35,3.28,2.42,2.02,1.43,2.74,3.19,2.15,1.24,,,,
June,,,,,,,,1.08,3.32,0.35,1.25,3.02,2.03,0.92,1.67,2.08,3.02,2.51,1.19,2.93,2.24,2.79,2.47,1.66,1.18,2.76,,,,
July,,,,,,,,1.36,4.22,2.52,1.38,1.89,1.58,2.29,2.37,3.55,1.97,0.9,0.96,1.98,1.79,4.54,1.4,3.24,1.98,1.21,,,,
August,,,,,,,,2.31,2.97,3.33,3.36,4.71,2.37,1.63,3.07,2.1,1.31,2.11,3.46,1.08,3.75,1.48,3.15,5.34,3.91,3.79,,,,
September,,,,,,,3.33,3.17,0.39,1.14,1.03,2.47,2.07,1.5,1.25,1.83,5.8,2.39,0.97,3.32,0.62,1.2,1.63,4.7,1.47,1.3,,,,
October,,,,,,,4.14,2.05,1.37,3.76,1.54,4.56,3.07,2.85,4.51,4.25,3.96,1.22,5.89,3.26,3.16,2.65,2.81,8,0.69,1.63,,,,
November,,,,,,,2.73,2.01,4.92,1.3,4.52,1.81,1.92,1.33,3.59,4.65,1.2,1.72,2.64,1.43,2.84,1.86,1.85,2.16,1.25,2.69,,,,
December,,,,,,,4.32,2.24,2.43,1.64,1.08,3.97,1.78,3.76,2.59,3.29,4.64,2.63,3.32,2.22,3.49,4.78,2.74,2.33,1.92,0.78,,,,
Total,,,,,,,,21.39,25.68,28.17,24.44,31.67,22.95,22.87,31.66,31.27,28.07,27.03,26.06,28.85,28.77,29.13,24.54,41.79,22.7,23.18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Pool Quay Vicarage. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
