"SALE (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ768930,Long,-2.350662,Lat,53.433267,,,,,,,
Station no,2741/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,3.11,1.21,3.30,2.30,4.85,2.12,3.00,2.86,4.69,,
February,1.92,1.01,1.09,2.84,2.15,0.62,2.10,4.68,0.39,2.16,,
March,4.30,2.19,1.61,2.30,2.04,1.12,2.74,1.76,1.50,1.13,,
April,1.75,3.73,2.54,0.80,2.02,3.64,0.50,0.67,3.00,1.44,,
May,2.61,1.80,1.95,2.70,2.53,0.94,1.12,3.27,2.12,2.22,,
June,1.00,2.47,1.90,3.40,2.73,2.07,1.57,5.89,2.48,1.88,,
July,2.72,1.86,3.60,4.56,0.74,5.12,5.35,4.68,2.99,4.76,,
August,4.03,2.16,3.88,5.94,1.00,8.86,4.00,4.97,0.20,6.18,,
September,2.65,3.05,2.68,3.78,2.54,2.56,5.37,4.60,0.23,2.99,,
October,1.46,3.52,2.03,6.25,2.25,2.53,3.47,2.82,3.05,4.27,,
November,6.77,2.16,3.09,5.46,1.78,1.12,1.66,1.48,3.97,4.74,,
December,4.90,3.13,1.33,4.82,4.25,2.70,3.03,3.99,4.79,3.52,,
Total,37.01,30.19,26.91,46.15,26.33,36.13,33.03,41.81,27.58,39.98,,
Calc annual,37.01,30.19,26.91,46.15,26.33,36.13,33.03,41.81,27.58,39.98,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
