SALE-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ768930,Long,-2.3506615,Lat,53.433267,Elevation,58,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2741/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.77,3.71,3.36,4.1,4.77,2.18,1.17,3.37,4.42,4.27,2.24,4.16,1.72,6.91,2.56,1.78,2.9,3.11,1.21,3.3,2.3,4.85,2.12,3,2.86,4.69
February,,,,,3.2,1.87,4.74,1.03,3.71,1.68,3.1,1.65,2.34,1.43,3.11,5.37,0.33,1.68,1.78,4.39,1.92,1.01,1.09,2.84,2.15,0.62,2.1,4.68,0.39,2.16
March,,,,,1.54,1.33,1.34,1.03,1.76,2.76,2.42,2.54,0.84,0.67,0.84,0.69,5.15,1.03,2.01,1.35,4.3,2.19,1.61,2.3,2.04,1.12,2.74,1.76,1.5,1.13
April,,,,,2.32,1.2,2.61,0.38,2.04,1.64,1.06,1.52,1.5,2.34,2.15,0.98,2.59,1.26,2.65,3.39,1.75,3.73,2.54,0.8,2.02,3.64,0.5,0.67,3,1.44
May,,,,,0.92,0.7,2.52,4.02,1.01,1.13,1.68,3.75,2.42,2.94,3.93,1.48,2.33,1.14,3.64,1.33,2.61,1.8,1.95,2.7,2.53,0.94,1.12,3.27,2.12,2.22
June,,,,,3.51,3.18,1.42,3.34,2.84,1.11,0.37,0.44,2.48,2.59,3.49,3.64,1.99,4.83,0.78,2.45,1,2.47,1.9,3.4,2.73,2.07,1.57,5.89,2.48,1.88
July,,,,,1.06,2.74,1.99,3.87,6.27,3.57,2.18,3.44,1.79,2.83,1.81,4.39,2.13,1.86,1.51,3.22,2.72,1.86,3.6,4.56,0.74,5.12,5.35,4.68,2.99,4.76
August,,,,,1.45,1.89,2.43,2.29,1.23,1.31,4.45,3.97,5.18,3.64,2.89,3.76,0.28,4.26,2.2,5.04,4.03,2.16,3.88,5.94,1,8.86,4,4.97,0.2,6.18
September,,,,,5.51,4.65,2.18,2.21,0.88,3.59,0.48,1.88,3.8,3.71,2.22,5.29,2.46,2.24,0.84,5.02,2.65,3.05,2.68,3.78,2.54,2.56,5.37,4.6,0.23,2.99
October,,,,,5.48,3.46,1.67,5.13,1.7,3.75,3.58,5.33,3.07,3.31,5.74,0.73,0.69,2.45,2.74,2.22,1.46,3.52,2.03,6.25,2.25,2.53,3.47,2.82,3.05,4.27
November,,,,,4.48,3.96,2.1,3.04,5.19,6.4,2.31,0.82,2.46,6.28,0.48,5.02,3.84,2.16,4.87,4.7,6.77,2.16,3.09,5.46,1.78,1.12,1.66,1.48,3.97,4.74
December,,,,,3.51,2.93,2.21,3.86,2.66,3.07,1.2,3.29,1.76,2.79,2.24,3.36,2.6,3.18,5.08,3.34,4.9,3.13,1.33,4.82,4.25,2.7,3.03,3.99,4.79,3.52
Total,,,,,35.75,31.62,28.57,34.3,34.06,32.19,24,32,32.06,36.8,31.14,38.87,26.11,33,30.66,38.23,37.01,30.19,26.91,46.15,26.33,36.13,33.03,41.81,27.58,39.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11976 SALE S WKS Start 1935 end 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is the sewage works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
