WIMBLEDON-WORPLE-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ240700,Long,-0.21825907,Lat,51.415466,Elevation,75,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.15,2.74,2.43,0.47,3.87,,,,,,,,,,,,,,,,1.43,1.81,,,,,,,,
February,3.22,1.07,1.53,0.92,2.66,3.31,,,,,,,,,,,,,,,,1.62,0.23,,,,,,,,
March,1.16,1.85,2.56,2.43,4.09,0.79,,,,,,,,,,,,,,,,0.26,1.45,,,,,,,,
April,1.36,1.78,0.06,2.62,0.76,1.37,,,,,,,,,,,,,,,,4.07,2.16,,,,,,,,
May,1.99,1.92,1.27,1.54,1.26,3.04,,,,,,,,,,,,,,,,2.65,4.37,,,,,,,,
June,2.51,2.09,3.21,0.28,2.8,0.56,,,,,,,,,,,,,,,,1.88,0.8,,,,,,,,
July,3.03,0.27,1.85,1.63,1.24,3.92,,,,,,,,,,,,,,,,3.09,2.32,,,,,,,,
August,2.79,1.49,4.63,1.65,0.92,2.28,,,,,,,,,,,,,,,,5.4,1.12,,,,,,,,
September,0.9,1.23,2.42,1.68,0.91,1.76,,,,,,,,,,,,,,,,3.01,1.97,,,,,,,,
October,2.96,2.91,2.25,3.49,1.13,2.48,,,,,,,,,,,,,,,,0.76,5.27,,,,,,,,
November,2.88,3.38,1.79,2.07,2.54,2.12,,,,,,,,,,,,,,,,2.33,1.11,,,,,,,,
December,3.12,4.18,2.69,0.92,6.29,4.94,,,,,,,,,,,,,,,,0.64,0.42,,,,,,,,
Total,,23.32,27,21.66,25.07,30.44,,,,,,,,,,,,33.94,26.78,21.96,25.36,27.14,23.03,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Worple Road and matches altitude and relationships to church and station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gaps in record but also 1920s record sheet missing, 1927 to 1930 annual totals taken from British Rainfall reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
