"STREATHAM HILL RESERVOIR, DAYSBROOK ROAD SW23TB",,,,,,,,,,,,
Grid ref,TQ306732,Long,-0.122225,Lat,51.442743,,,,,,,
Station no,7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,1.87,1.01,1.21,2.24,3.43,1.49,1.70,2.01,1.58,,
February,5.79,0.93,1.16,1.96,1.28,0.19,2.55,2.16,0.07,1.43,,
March,2.81,2.72,0.49,1.99,1.00,1.11,0.71,1.11,1.81,1.83,,
April,2.35,1.20,1.94,0.31,0.25,1.14,0.31,1.36,1.71,0.56,,
May,2.24,1.32,1.35,2.40,4.99,0.45,1.09,2.24,0.79,1.78,,
June,1.07,1.18,1.42,3.36,2.03,2.35,1.23,4.23,0.84,1.10,,
July,1.81,0.63,3.61,2.73,0.91,4.52,2.71,1.88,1.36,2.86,,
August,2.92,2.58,1.36,3.08,0.93,3.01,2.54,3.36,1.87,2.74,,
September,3.00,3.09,2.24,2.17,2.16,1.84,2.15,4.00,0.04,3.97,,
October,0.97,2.47,3.35,2.20,2.82,1.53,1.88,2.70,2.12,5.31,,
November,5.06,3.41,1.05,3.69,0.51,0.41,2.03,1.85,2.99,3.72,,
December,1.91,2.22,0.67,1.39,1.77,2.65,1.92,2.59,3.22,2.36,,
Total,32.91,23.62,19.65,26.49,20.89,22.63,20.61,29.18,18.83,29.24,,
Calc annual,32.91,23.62,19.65,26.49,20.89,22.63,20.61,29.18,18.83,29.24,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
