"WARRINGTON CENTRAL STATION",,,,,,,,,,,,
Grid ref,SJ608885,Long,-2.590914,Lat,53.391871,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.64,2.24,2.25,2.34,2.19,1.21,3.51,1.71,2.00,1.93,,
February,3.63,1.28,1.37,1.94,3.06,1.49,2.38,1.43,1.93,1.10,,
March,0.71,2.01,1.50,3.39,1.61,2.71,2.31,2.06,1.78,2.29,,
April,1.01,1.73,2.23,1.58,1.55,2.10,1.19,1.05,2.63,2.61,,
May,1.77,0.90,3.45,3.62,1.96,0.57,2.30,2.80,2.71,1.13,,
June,2.45,1.63,1.45,1.81,1.37,2.58,1.89,4.72,1.43,2.35,,
July,1.60,2.06,2.04,3.58,1.38,1.71,0.88,1.36,3.45,2.59,,
August,5.87,2.36,3.14,3.41,3.71,2.77,2.64,2.92,2.28,3.81,,
September,0.92,0.74,0.99,4.28,1.73,1.70,2.13,0.88,3.34,2.07,,
October,4.09,3.57,3.63,5.07,1.65,3.50,3.97,2.77,1.62,4.80,,
November,2.20,3.31,1.33,3.28,2.05,2.72,2.15,1.76,2.90,0.84,,
December,3.64,3.32,2.56,1.77,2.14,0.22,3.26,1.60,2.17,6.24,,
Total,32.53,25.15,25.94,36.07,24.40,23.28,28.61,25.06,28.24,31.76,,
Calc annual,32.53,25.15,25.94,36.07,24.40,23.28,28.61,25.06,28.24,31.76,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
