"PENRITH NUNWICK HALL",,,,,,,,,,,,
Grid ref,NY553358,Long,-2.695380,Lat,54.715207,,,,,,,
Station no,3609,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.17,2.67,1.88,4.29,3.88,1.49,5.33,1.26,2.59,2.83,,
February,4.27,1.47,0.92,4.86,3.00,2.90,2.51,1.81,2.91,2.23,,
March,0.48,2.33,2.51,4.79,1.60,3.11,2.05,2.93,3.80,3.13,,
April,2.28,1.98,2.21,1.21,2.77,3.09,0.73,2.42,2.01,2.66,,
May,1.56,1.39,2.47,2.49,2.18,0.36,5.11,4.40,2.68,1.40,,
June,3.55,2.17,2.04,1.43,1.81,0.94,0.88,3.75,1.23,2.15,,
July,2.13,1.25,3.84,4.49,1.22,1.95,1.45,1.45,3.12,4.71,,
August,4.97,3.21,1.35,4.09,2.93,2.95,3.96,3.72,4.08,3.01,,
September,1.99,1.07,1.38,4.59,0.83,2.32,1.37,0.46,3.12,2.33,,
October,5.53,2.64,2.69,8.73,1.26,2.48,5.91,4.88,1.30,4.82,,
November,2.75,3.66,2.43,2.45,2.75,2.86,2.89,2.48,2.46,1.72,,
December,4.64,4.37,4.22,2.60,2.74,1.08,2.39,4.97,2.19,3.49,,
Total,36.32,28.21,27.94,46.02,26.97,25.53,34.58,34.53,31.49,34.48,,
Calc annual,36.32,28.21,27.94,46.02,26.97,25.53,34.58,34.53,31.49,34.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
