SEIL (AN CALA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM748173,Long,-5.640981,Lat,56.294508,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.52,3.75,13.66,9.27,2.76,1.34,0.26,6.41,6.82,7.75,5.06,6.99,5.96,7.82,8.87,6,7.93,5.53,6.18,,3.27,4.68,8.89,6,1.82,4.13
February,,,,,5.87,3.88,4.5,4.45,7.28,3.96,4.88,3.27,6.18,3,9.97,5.14,0.07,6.52,6.67,6.65,4.26,3.09,3.32,,2.45,2.65,3.9,2.99,1.83,4.92
March,,,,,3.5,3.75,1.46,6.65,3.6,5.56,3.4,3.37,3.77,2.04,5.06,3.12,2.35,4.99,4.68,4.72,4.85,5.14,2.38,,1.04,3.08,7.21,1.83,4.76,2.18
April,,,,,2.55,1.47,2.88,0.95,2.56,2.78,2.99,2.79,6.26,3.67,2.6,3.01,6.42,4.42,7.92,4.44,3.86,2.97,3.46,,5.98,2.88,3.11,2.58,4.01,4.72
May,,,,,0.71,4.28,2.2,3.59,2.29,3,1.7,3.05,4,6.1,3.84,0.85,3.07,1.81,2.54,1.64,0.88,1.38,4.39,,3.25,4.25,1.78,4.13,1.14,2.93
June,,,,,3.21,3.08,5.32,6.81,2.9,1.12,2.77,4.46,5.81,5.71,4.55,4.62,5.86,4.51,1.96,5.45,2.33,5.18,1.66,,5.18,3.05,5.54,2.79,3.79,3.54
July,,,,,3.97,4.37,7.22,5.07,7.39,3.91,3.39,5.76,3.82,3.36,4.76,5.56,4.99,6.1,2.78,8.46,6.29,3.51,5.64,3.93,1.15,5.19,5.52,3.41,7.38,4.27
August,,,,,5.25,5.1,4.66,4.66,2.46,5.07,5.31,7.58,9.17,4.97,2.81,5.93,0.13,6.33,7.64,7.76,5.7,5.13,6.45,6.05,1.63,5.3,5.85,6.36,2.17,3.37
September,,,,,9.81,3.86,4.77,5.64,4.08,5.71,3.93,8.98,5.76,5.4,8.07,6.3,6.79,10.26,2.89,10.9,5.2,4.38,6.76,7.6,7.87,5.1,3.84,4.35,2.37,3.71
October,,,,,12.06,8.06,4.22,10.93,2.58,8.12,6.18,8.61,12.12,6.84,5.74,0.57,3.78,12.14,7.13,7.8,3.85,5.54,6.56,11.3,6.79,4.18,8.43,7.38,7.08,1.95
November,,,,,5.26,5.15,1.81,9.84,11.15,9.21,7.15,2.16,4.66,7.78,0.98,4.82,9.98,4.74,7.85,5.69,8.03,2.61,12.63,9.45,2.68,4.16,3.59,3.13,7.8,5.69
December,,,,,4.89,8.15,2.6,5.57,4.2,8.76,4.69,10.6,4.72,6.73,6.37,8.04,4.78,8.92,11.39,3.24,11.08,7.29,7.12,8.18,7.95,7.75,5.61,4.72,8.66,8.03
Total,,,,,61.6,54.9,55.3,73.43,53.25,58.54,46.65,67.04,73.09,63.35,59.81,54.95,54.18,78.56,72.32,72.75,64.26,51.75,66.55,,49.24,52.27,63.27,49.67,52.81,49.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,680422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
