DUNEARN LODGE [DAVA],,,,,,,,,,,,,,,,,,,,
Grid ref,NH 94046 40030,Long,-3.766673,Lat,57.438196,Elevation ,750,ft,,,,,,,,,,,,
Station no,RR3197,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,0.82,1.73,0.8,2.99,1.4,,,,,,,,
February,,,,,,,,1.3,1.56,3,0.41,1.16,,,,,,,,
March,,,,,,,,1.87,4.2,1.63,3.16,2.19,,,,,,,,
April,,,,,,,,1.11,1.71,2.89,1.22,0.73,,,,,,,,
May,,,,,,,,2.8,0.92,0.4,0.92,4.23,,,,,,,,
June,,,,,,,,3.5,2.43,0.47,1.81,0.75,,,,,,,,
July,,,,,,,,2.25,4.53,3.14,3.1,7.6,,,,,,,,
August,,,,,,,,1.43,3.08,5.4,4.66,4.63,,,,,,,,
September,,,,,,,,4.21,1.09,1.49,1.2,2.02,,,,,,,,
October,,,,,,,,3.83,2.75,2.72,4.06,1.1,,,,,,,,
November,,,,,,,,2.49,3.51,2.32,3.1,0.91,,,,,,,,
December,,,,,,,,2.43,0.42,1.09,1.1,1.77,,,,,,,,
Total,,,,,,,,28.04,27.93,25.35,27.73,28.49,,,,,,,,
