"GLEN AFFRIC (BENEVEAN DAM)",,,,,,,,,,,,
Grid ref,NH275280,Long,-4.865503,Lat,57.309870,,,,,,,
Station no,5713/5/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,7.36,4.48,7.04,3.17,5.79,9.30,6.25,3.75,3.97,,
February,,2.78,3.70,4.30,3.26,3.74,4.45,3.32,2.18,4.34,,
March,,3.77,2.19,3.92,2.04,2.67,3.60,2.32,2.42,1.20,,
April,5.00,2.15,4.18,2.64,1.44,2.32,1.54,3.78,4.77,5.88,,
May,1.20,2.21,3.94,4.87,2.78,4.08,2.11,5.39,1.23,1.20,,
June,1.49,2.73,1.41,2.38,1.47,1.89,2.75,2.41,2.70,2.06,,
July,1.44,1.94,3.66,2.15,0.50,4.54,5.45,2.53,4.80,2.94,,
August,3.10,3.98,3.48,2.65,0.73,6.39,5.52,3.40,3.02,5.29,,
September,2.74,4.69,3.65,5.29,4.11,4.79,4.28,3.62,1.08,3.20,,
October,1.63,7.41,1.91,8.31,6.04,6.33,5.76,8.07,6.90,3.06,,
November,7.23,4.72,7.96,6.90,1.75,7.02,2.84,1.36,7.01,3.95,,
December,10.17,6.22,6.74,13.93,10.81,8.63,9.18,4.03,6.26,7.40,,
Total,,49.96,47.30,64.38,38.10,58.19,56.78,46.48,46.12,44.49,,
Calc annual,34.00,49.96,47.30,64.38,38.10,58.19,56.78,46.48,46.12,44.49,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
