BENEVEAN DAM (CHECK),,,,,,,,,,
Grid ref,NH274277,Long,-4.866951,Lat,57.307141,Elevation,656,ft,,
Station no,5713/52,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.81,9.79,,,
February,,,,,,3.56,4.36,,,
March,,,,,,2.61,3.49,,,
April,,,,,,2.14,1.44,,,
May,,,,,,3.96,,,,
June,,,,,,1.95,,,,
July,,,,,,4.02,,,,
August,,,,,,5.9,,,,
September,,,,,,4.37,,,,
October,,,,,,6.2,,,,
November,,,,,,7.27,,,,
December,,,,,,9.12,,,,
Total,,,,,,56.91,,,,
,,,,,,,,,,
Station no,5713/52,,,,,,,,,
Midas,14577,,,,,,,,,
Hyd Stn,794725,,,,,,,,,
