EPSOM-LONG-GROVE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ196627,Long,-0.283956,Lat,51.350801,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,138/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.8,2.16,3.87,2.21,1.87,2.47,4.73,1.6,1.67,1.37,1.5,3.1,0.93,0.8,3.49,,,,,,,,,
February,,,,,,,3.94,0.4,1.05,1.39,2.05,0.46,1.51,0.77,1.2,2.29,1.26,1.15,0.86,3.66,5.75,,,,,,,,,
March,,,,,,,3.12,0.32,0.88,3.12,3.22,1.64,0.26,0.07,1.16,1.13,4.56,0.81,0.97,0.77,2.92,,,,,,,,,
April,,,,,,,2.27,0.07,2.23,1.28,1.81,1.11,0.9,1.57,1.21,2.23,1.63,1.35,1.8,2.64,2.61,,,,,,,,,
May,,,,,,,2.29,1.68,1.44,1.22,1.68,3.14,1.94,0.54,3.26,3.42,1.25,1.89,2.06,1.33,1.85,,,,,,,,,
June,,,,,,,2,0.57,1.65,0.39,2.04,1.06,1.21,1.96,1.24,2.5,3.1,2.06,0.86,1.43,1.11,,,,,,,,,
July,,,,,,,1.13,1.1,2.03,2.16,2.73,1.97,1.39,1.69,3.4,1.2,1.56,1.29,0.76,3.7,1.63,,,,,,,,,
August,,,,,,,1.68,1.51,1.63,0.1,4.23,1.68,1.22,2.37,1.36,4.93,0.41,3.46,1.44,2.06,2.71,,,,,,,,,
September,,,,,,,1.77,1.85,1.16,1.09,0.27,1.36,2.33,2.18,1.9,3.29,1.23,1.17,0.63,2.62,3.2,,,,,,,,,
October,,,,,,,2.66,2.34,5.32,2.2,0.87,3.05,2.8,3.06,2.61,0.98,0.17,1.8,5.91,0.38,,,,,,,,,,
November,,,,,,,1.44,3.74,4.11,6.95,2.59,2.04,1.26,3.25,0.25,3.34,1,1.53,2.22,5.11,,,,,,,,,,
December,,,,,,,4.03,2.99,1.15,1.14,1.74,2.58,1.69,1.81,2.84,2.33,2.69,3.69,1.07,1.67,,,,,,,,,,
Total,,,,,,,31.13,18.73,26.52,23.25,25.1,22.56,21.24,20.87,22.1,29.01,20.36,23.3,19.51,26.17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Station ceased Moved to Dundonald N Ireland Stn No 6205/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
