BOVEY-TRACEY-COLEHAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX791776,Long,-3.709,Lat,50.5859,Elevation,415,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.71,4.65,1.73,1.35,8.83,5.18,2.47,4.23,6.83,6.51,0.98,3.73,0.9,10.02,7.39,3.84,2.36,,8.85,2.04,9.66,2.27,2.42,2.72,6.41,1.77,,,,,,,,
February,,,,,,,2.1,0.98,0.53,2.43,1.72,0.06,3.05,8.1,2.39,0.1,0.79,3.9,2.65,7.09,9.37,2.3,3.15,,9.92,1.88,4.99,2.34,2.3,1.06,8.36,2.87,,,,,,,,
March,,,,,,,5.8,2.28,6.72,4.59,2.3,3.14,1.45,0.4,3.16,3.96,5.48,6.68,2.1,1.41,2.26,5.7,2.94,,3.67,8,1.87,1.32,5.89,8.16,1.56,4.05,,,,,,,,
April,,,,,,,2.7,1.21,2.06,1.83,3.47,2.46,0.83,0.38,4.28,3.65,0.34,5.51,2.66,4.42,1.47,5.73,2.65,,2.06,3.61,1.1,5.29,3.2,3.89,3.56,2.61,,,,,,,,
May,,,,,,,4.04,1.73,2.96,2.48,2.31,3.51,1.31,2.08,2.78,1.18,0.01,1.77,3.61,3.84,2.86,2.16,2.04,,2.88,1.61,2.75,4.27,2.99,1.26,3.77,2.32,,,,,,,,
June,,,,,,,1.03,0.08,2.82,0.69,3.02,3.76,1.83,1.04,2.2,1.31,2.84,3.08,1.78,1.97,3.64,1.6,3.15,,1.7,3.76,1.99,3.64,0.77,4.33,2.29,3.81,,,,,,,,
July,,,,,,,3.46,1.66,7.19,4.42,3.05,3.34,2.3,5.55,4.58,3.93,1.87,1.88,0.82,0.9,1.16,1.49,3.32,,5.9,0.94,0.87,2.11,2.72,2.31,3.84,1.07,,,,,,,,
August,,,,,,,2.75,2.25,2.95,3.24,3.78,7.89,4.81,2.22,5.06,2.89,1.75,6.56,2.9,2.75,2.68,1.85,3.53,,3.07,5.09,3.53,0.96,4.25,2.03,6.23,3.69,,,,,,,,
September,,,,,,,2.6,3.42,0.94,2.01,1.63,2,2.28,1.94,4.09,0.25,7.27,3.97,1.4,2.97,1.54,5.13,3.83,,2.65,2.24,0.86,1.17,5.18,1.6,0.57,2.95,,,,,,,,
October,,,,,,,8.58,3.88,2.03,4.91,1.66,11.93,6.72,3.48,7.93,6.54,4.91,1.83,9.48,3.31,3.51,2.4,3.27,,2.94,1.46,7.6,9.61,2.91,9.74,9.48,5.5,,,,,,,,
November,,,,,,,3.95,4.87,10.95,2.35,5.3,6.71,4.32,2.96,9.38,12.44,1.38,3.04,4.29,5.48,4.43,1.46,7.27,,2.93,7.31,4.38,5.57,1.88,1.21,8.04,7.03,,,,,,,,
December,,,,,,,7.37,4.58,5.89,3.29,4.74,7.94,2.01,6.25,2.88,6.68,11.03,12.22,6.75,5.38,8.96,9.49,5.38,,4.52,1.53,3.13,8.17,5.38,7.51,12.42,15.75,,,,,,,,
Total,,,,,,,50.09,31.59,46.77,33.59,41.81,57.92,33.38,38.63,55.56,49.44,38.65,54.17,39.34,49.54,49.27,43.15,42.89,,51.09,39.47,42.73,46.72,39.89,45.82,66.53,53.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note says 1910 and 1911 corrected for wrong day ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
