"CUCKFIELD WORKHOUSE",,,,,,,,,,,,
Grid ref,TQ308256,Long,-0.136708,Lat,51.014912,,,,,,,
Station no,RR4312,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.51,0.92,0.87,2.12,4.67,1.07,5.17,1.00,,1.10,,
February,5.04,1.65,1.38,1.29,3.24,0.43,2.61,1.37,,0.12,,
March,0.73,1.55,1.64,2.66,0.95,3.55,1.27,0.93,,3.50,,
April,0.97,2.04,0.85,2.42,1.44,1.87,0.78,3.16,,1.45,,
May,0.82,1.03,2.16,3.20,3.24,0.47,2.10,2.42,1.87,1.50,,
June,2.66,1.60,2.96,3.38,0.89,4.09,2.02,1.56,0.67,2.50,,
July,1.38,1.56,1.13,3.61,0.82,0.43,1.10,,,3.40,,
August,2.11,1.38,4.05,3.78,1.33,2.63,0.72,,,2.85,,
September,1.02,1.80,0.45,3.09,2.22,2.16,1.06,,,3.20,,
October,1.80,3.27,1.63,6.35,2.16,1.68,4.42,,,8.00,,
November,2.92,0.41,2.73,1.76,1.27,5.68,5.47,,1.47,1.25,,
December,3.21,4.48,1.57,1.96,3.33,0.78,2.03,,3.75,5.80,,
Total,26.17,21.69,21.42,35.62,25.56,24.84,28.75,,,34.67,,
Calc annual,26.17,21.69,21.42,35.62,25.56,24.84,28.75,10.44,7.76,34.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,,
