EAST-GRINSTEAD-HALSFORD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ3808838992,Long,-0.027765,Lat,51.133561,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.82,4.04,4.55,3.78,2.12,3.79,7.04,3.74,1.56,3.89,1.27,7.35,1.35,3.35,0.49,1.91,1.4,2.52,3.41,2.57,4.38,2.65,1.1,1.3,3.64,3.39,0.66,2.51,5.24,3.11,0.84,2.33,,3.26,3.79,1.51,1.21,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,5.77,1.95,1.35,3.04,3.05,1.87,2.07,2.78,2.69,1.36,2.85,2.4,2.2,4.35,3.64,3.36,1.82,4.99,2.28,3.79,0.58,0.79,2.54,3.18,1.37,0.07,1.92,3.6,2.05,0.72,0.34,2.77,,2.95,5.86,2.41,1.71,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.11,3.25,1.72,2.28,2.53,1.76,2.7,2.13,0.71,1.15,3.39,2.7,1.8,0.89,0.91,2.64,0.93,1.6,2.41,2.08,2.73,2.17,4.79,2.85,2.96,2.94,2.08,0.54,1.63,1.81,3.23,5.15,,1.16,1.13,2.86,2.37,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.12,2.41,2.29,1.48,0.33,3.95,0.65,0.89,2.54,1.41,3.02,4.23,3.74,4.28,2.04,0.56,3.52,1.95,1.63,1.68,1.99,1.74,1.85,2.53,2.82,0.45,1.63,0.07,2.49,2.21,0.66,1.76,,2.87,1.44,2.42,1.23,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.42,1.67,0.83,3.03,1.73,0.99,4.53,1.54,1.98,1.41,0.89,2.91,4.47,3.6,0.27,1.31,1.24,2.34,0.39,4.07,4.69,1.74,1.61,1.98,2.11,2.87,1.08,0.87,1.94,0.18,0.32,1.75,,1.85,1.12,1.06,2.95,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.5,1.98,0.47,1.53,0.36,2.71,2.45,3.18,2.09,3.58,1.68,0.86,3.46,4.54,2.29,2.39,2.49,1.92,2.41,0.95,1.45,0.51,3.64,0.73,2.76,2.21,3.33,0.77,2.25,0.23,3.14,1.62,,2.4,3.42,1.62,4.16,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.09,4.93,1.82,0.42,2.61,3.32,1.66,2.55,2.46,5,0.52,3.2,1.54,3.95,5.5,1.44,3.56,2.18,1.55,0.3,2.44,0.96,6.16,2.92,4.2,4.57,2.08,4.23,5.12,3.61,1.88,0.49,,2.72,1.11,2.95,1.91,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.24,1.85,3.01,1.05,1.71,1.85,1.44,3.07,2.73,2.01,3.7,3.1,4.32,4.91,1.26,4.63,1.95,1.16,0.92,1.39,3.16,2.55,2.52,2.48,3.78,4.89,3.21,0.8,2.15,2.37,1.96,3.23,,0.99,3.52,1.67,3.84,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,7.85,1.95,3.21,4.66,2.18,4.29,2.38,2.8,3.15,2.57,4.12,1.3,1.44,3.41,5.64,3.06,3.15,3.86,3.37,4.81,1.64,3.21,1.2,1.03,1.23,1.08,2.31,2.11,2.45,0.14,7.76,2.57,,2.94,1.78,1.87,1.51,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.71,3.67,2.7,2.52,5.43,1.26,5.95,4.94,4.9,4.23,1.36,2.69,3.81,0.87,8.21,3,6.44,2.87,1.46,3.97,3.47,1.52,1.7,6.55,1.35,8.58,5.31,4.49,4,4.22,3.83,0.42,,2.32,2.63,3.51,3.18,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
