WORTHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ326045,Long,-2.9973339,Lat,52.634047,Elevation,395,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2286/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.03,5.82,2.77,3.37,4.05,4.5,3.01,2.23,3.32,2.08,6.37,1.62,0.8,2.87,3.64,,2.05,2.68,3.72,,2.44,4.26,
February,,,,,,,,0.88,2.19,2.63,3.21,0.62,2.08,2.02,2.17,3.35,3.83,1.73,1.06,6.07,3.86,0.78,,2.02,2.16,0.37,,3.94,0.27,
March,,,,,,,,0.35,2.45,2.45,3.78,1.65,0.82,0.63,0.82,1.38,5.67,1.4,1.34,1.25,4.32,1.26,,2.28,2.95,1.15,,1.02,2.01,
April,,,,,,,,0.21,2.11,3.91,1.33,1.76,1.64,1.18,1.63,1.41,2.01,2.15,2.68,3.1,1.94,1.43,,0.55,1.33,1.4,,0.5,4.02,
May,,,,,,,,2.22,1.24,2.6,2.67,3.78,2.64,1.81,3.9,2.3,2.54,1.66,3.07,1.27,3.7,1.84,,3.72,4.37,0.4,,2.23,1.78,
June,,,,,,,,1.65,1.77,1.43,2.13,1.08,2.42,2.15,2.38,2.99,1.54,3.48,0.71,1.51,0.67,2.42,,4.04,3.78,1.05,,3.35,1.8,
July,,,,,,,,2.67,8.51,4.54,1.42,3.13,1.46,1.49,1.97,2.23,2.03,1.15,2.65,2.51,1.98,0.83,,2.73,0.35,3.53,,3.69,1.53,
August,,,,,,,,4.4,1.69,0.24,3.39,2.68,2.25,2.15,3.14,5.61,0.45,2.99,1.35,4.44,3.56,3.1,,4.29,1.53,3,,2.25,1.19,
September,,,,,,,,1.85,0.85,1.64,1.02,1.52,3.13,3.93,2.19,4,1.74,2.39,1.19,4.76,2.05,1.99,,1.98,1.06,4.38,,4.64,0.14,
October,,,,,,,,4.25,2.57,3.22,2.72,1.92,3.61,3.52,3.99,1.19,0.45,2.21,3.75,2.14,1.29,3.69,,4.33,1.22,1.87,,2.57,2.6,
November,,,,,,,,4.27,4.83,8.36,2.54,0.92,2.35,4.61,0.42,4.75,2.59,2.08,3.7,4.45,6.62,2.86,,6.15,2.03,1.07,,1.79,4.03,
December,,,,,,,,3.09,2.13,1.83,1.59,3.62,1.54,2.66,3.54,3.13,2.77,3.71,3.12,2.5,2.83,2.96,,2.6,3.12,2.82,,3.09,5.17,
Total,,,,,,,,29.87,36.16,35.62,29.17,26.73,28.44,29.16,28.38,35.66,27.7,31.32,26.24,34.8,35.69,26.8,,36.74,26.58,24.76,,31.51,28.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record, which does not have the correct relationship with church unless the observer has confused N and S, but station is in the right direction. Altitude may be 25 to 50 ft. high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 and 1957 are blank records in the original records with no explnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
