ASHBOURNE-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK172463,Long,-1.7450812,Lat,53.013732,Elevation,500,ft.,,,,,,,,,,,,,
Station no,2649,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.87,4.04,2.81,7.79,2.21,4.51,3.67,2.79,2.31,3.28,,,,,,
February,,,,,,4.7,3.23,2.08,4.29,0.67,0.88,3.87,0.43,4.66,0.42,,,,,,
March,,,,,,1.03,1.78,3.98,2.84,0.4,3.19,0.2,2.05,2.72,2.78,,,,,,
April,,,,,,2.67,1.78,2.76,1.35,1.09,3.19,4.1,3.98,1.26,2.33,,,,,,
May,,,,,,4.54,3.44,1.65,0.8,2.3,2.43,3.38,5.47,2.14,1.36,,,,,,
June,,,,,,0.06,2.63,6.37,3.8,1.7,2.18,4.49,0.82,3.1,0.73,,,,,,
July,,,,,,1.86,2.65,2.5,1.45,2.54,6.2,4.39,3.2,2.4,1.27,,,,,,
August,,,,,,4.54,2.63,3.74,3.64,4.19,3.13,6.46,1.79,0.76,2.87,,,,,,
September,,,,,,3.97,1.42,4.92,0.6,1,4.09,3.34,2.5,1.3,2.76,,,,,,
October,,,,,,4.28,3.2,2.97,5.16,4.26,5.06,0.89,5.4,5.67,2.7,,,,,,
November,,,,,,2.19,4.64,4.11,6.71,7.81,3.98,5.4,2.84,1.72,2.02,,,,,,
December,,,,,,2.53,1.37,2.19,2.91,6.22,3.59,1.89,1.25,0.57,6.22,,,,,,
Total,,,,,,35.24,32.81,40.08,41.34,34.39,42.43,42.08,32.52,28.61,28.74,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage. Altitudes match. Relationship to church and station are too far and wrong direction, stated as S but they are E.",,,,,,,,,,,,,,,,,,,,,
