SEDBERGH-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD654919,Long,-2.5334422,Lat,54.321499,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.24,0.75,5.06,8.03,6.9,4.57,5.13,5.38,9.39,3.95,3.27,5.85,5.33,2.71,4.98,3.43,3.93,6.74,5.13,3.14,6.34
February,,,,,,,,,7.06,1.7,5.36,1.72,3.65,2.67,6.55,4.41,,4.18,4.19,6.51,5.55,1.34,2.98,3.27,1.74,1.2,4.82,6,1.85,4.79
March,,,,,,,,,3.23,6.08,3.29,4.04,1.76,0.58,3.23,2.33,5.2,4.35,1.74,2.51,5.07,3.4,1.08,3.28,1.14,1.49,4.61,0.92,3.17,1.18
April,,,,,,,,,2.21,2.31,1.94,2.54,4.02,3.64,2,1.63,6.55,2.37,6.48,3.8,2.69,4.12,2.89,2.22,2.82,1.28,1.33,2.09,3.76,4.02
May,,,,,,,,,0.81,1.6,2.33,3.98,4.77,3.14,3.93,1.52,2.87,1.97,3.78,2.2,1.19,1.75,1.82,4.63,3.79,2.65,3.71,5.84,1.61,1.75
June,,,,,,,,,4.86,0.92,0.98,1.05,5.81,4.9,4.46,3.55,4.15,6.6,0.88,4.87,1.61,5.78,6.71,5.72,3.87,1.99,2.76,3.4,3.73,3.43
July,,,,,,,,,5.55,7.12,2.05,4.79,6.03,6.3,2.57,6.15,4.86,3.07,3.77,5.27,4.99,1.82,7.06,6.87,1.64,3,4.35,3.56,3.88,7.87
August,,,,,,,,,2.52,2.56,5.12,6.49,8.11,4.5,2.55,6.84,0.03,5.77,3.08,9.05,5.2,7.62,6.22,7.58,1.8,10.89,5.63,5.36,1.05,3.1
September,,,,,,,,,2.73,4.96,1.43,7.09,5.1,5.94,4.41,8.95,4.79,7.6,2.58,9.35,5.46,4.14,6.74,9.5,3.43,2.86,5.3,5.78,1.29,4.55
October,,,,,,,,,1.67,6.62,6.63,5.21,6.31,5.4,7.07,0.48,0.55,4.01,6.58,5.25,1.31,3.32,2.13,11.32,2.74,5.04,8.65,5.31,4.74,2.64
November,,,,,,,,,7.7,6.35,3.51,1.31,2.95,8.91,0.18,8.28,9.18,5.25,6.26,5.63,9.15,2.44,6.7,8.63,1.93,1.69,1.77,1.51,,10.45
December,,,,,,,,,3.39,5.41,3,6.83,3.22,5,2.62,6.16,3.37,4.68,8.91,2.51,13.2,5.11,2.97,8.81,7.75,5.85,4.61,3.19,9.59,7.02
Total,,,,,,,,,,47.87,36.39,50.11,59.76,57.88,44.14,55.43,,59.24,52.2,60.22,61.27,46.17,50.01,76.81,36.08,41.87,54.28,48.09,,57.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the Grammar School in Sedbergh. Stated altitude is 25 ft too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 12538, continues to 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
