SEDBERGH-THE-LEYES,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD654921,Long,-2.5334655,Lat,54.323296,Elevation,400,ft.,,,,,,,,,,,,,
Station no,3071,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,10.14,5.23,7.59,5.45,6.98,2.42,6.37,4.97,8.49,6.26,
February,,,,,,,,,,,0.36,5.66,0.23,5.44,0.32,8.61,2.77,8.18,3.12,,
March,,,,,,,,,,,3.65,1.13,3.83,3.26,3.82,1.91,3.06,1.78,3.72,,
April,,,,,,,,,,,2.82,3.03,4.77,2.1,3.69,3.82,1.23,3.59,0.69,,
May,,,,,,,,,,,1.9,2.91,5.45,3.26,6.07,0.66,1.34,3.35,5.16,,
June,,,,,,,,,,,2.96,7.9,2.22,2.24,3.84,5.63,3.61,3.59,5.41,,
July,,,,,,,,,,,5.63,6.61,6.99,4.27,2.86,2.75,5.87,3.35,6.51,,
August,,,,,,,,,,,7,3.46,1.58,3.23,6.43,3.24,3.5,2.23,5.19,,
September,,,,,,,,,,,3.19,2.76,7.46,1.5,6.81,11.24,6.77,7.34,2.43,,
October,,,,,,,,,,,9.36,4.55,8.47,6.81,11.04,8.66,6.64,1.58,15.29,,
November,,,,,,,,,,,6.78,8.34,4.78,1.69,1,6.18,5.86,1.36,9.08,,
December,,,,,,,,,,,5.33,4.62,6.08,0.75,6.95,2.45,8.61,3.19,5.96,,
Total,,,,,,,,,,,59.12,56.2,59.45,40,59.81,57.57,55.63,44.51,71.05,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is The Leyes, stated altitude is 25 ft too low. Gauge moved to school in Feb 1939",,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 12538, continues to 1982",,,,,,,,,,,,,,,,,,,,,
