HARLOW-HASTINGWOOD,,,,,,,,,,
Grid ref,TL479071,Long,0.1408,Lat,51.743089,Elevation,322,ft,,
Station no,1266/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.03,1.98
February,,,,,,,,,0.08,1.92
March,,,,,,,,,1.91,1
April,,,,,,,,,2.67,0.45
May,,,,,,,,,0.92,2.17
June,,,,,,,,,1.39,1.97
July,,,,,,,,,1.95,3.38
August,,,,,,,,3.02,0.97,2.88
September,,,,,,,,4.41,0.08,5.89
October,,,,,,,,2.53,1.56,6.2
November,,,,,,,,1.67,2.77,3.86
December,,,,,,,,2.96,3.95,2.95
Total,,,,,,,,,20.28,34.65
