"ARMAGH - 10"" globe gauge, 30' above ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NV979052,Long,-6.649791,Lat,54.35303,Elevation,237,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,4.94,2,2.79,2.25,2.64,4.99,4.58,3.03,1.87,6.3,4.08,5.53,7.81,4.68,4.59,0.61,2.26,4.62,2.05,4.36,5.74,2.71,5.76,4.95,2.47,3.65,,4.03,,
February,2.75,2.27,2.73,1.27,3.24,1.33,1.86,1.97,6.75,2.51,5.04,2.83,5.72,1.28,2.62,1.59,2.27,2.07,1.52,2.69,2.06,2.2,1.27,1.8,1.9,2.05,,4.41,,
March,0.46,3.65,4.23,1.93,2.89,1.62,3.79,1.46,3.77,1.48,1.24,2.55,1.28,1.89,2.09,2.64,0.75,3.93,1.57,4.04,4.17,5.74,3.7,2.27,2.22,2.25,,2.21,,
April,0.76,1.7,0.03,2.93,1.67,3.16,2.85,3.15,3.32,2.09,3.51,1.54,1.44,3.13,0.21,2.27,1.05,4.58,5.86,3.42,2.12,1.07,3.47,2.57,1.97,0.99,,4.25,,
May,3.03,1.55,4.08,3.94,0.04,1.39,1.68,2.48,1.24,3,2.41,1.92,2.18,0.49,2.57,2.69,3.01,1.2,3.36,0.47,2.98,0.36,3.57,2.53,1.8,4.37,,4.39,,
June,2.5,2.6,2.42,3.34,4.47,5.57,2.1,1.91,2.73,0.87,2.37,3.45,5.66,2.27,4.65,2.25,2.09,1.76,0.94,1.32,4.19,3.73,3.6,3.74,2.64,0.63,,1,,
July,3.15,2.35,3.01,4.16,2.36,3.63,3.85,1.08,3.92,3.98,3.14,3.66,1.7,3.58,4.78,2.4,1.49,2.74,2.94,1.9,1.44,4.88,4.55,0.26,1.74,2.04,,4.27,,
August,2.66,2.9,2.98,3.84,3.07,1.88,3.55,1.1,3.48,2.89,2.72,2.81,2.87,2.47,2.45,3.2,2.69,2.66,3.14,3.4,5.21,6.29,2.18,3.51,2.23,3.46,,2.41,,
September,2.42,2.31,2.85,1.22,2.23,2.83,3.35,2.67,2.38,3.55,2.71,2.44,1.81,1.34,2.09,1.41,3.49,2.08,2.06,4.27,1.22,4.5,1.73,3.83,3.32,0.48,,1.66,,
October,1.26,4,1.98,4,4.35,4.84,4.93,3.78,3.15,4.39,2.24,2.9,2.56,4.98,3.4,3.4,1.49,1.73,2.76,1.46,2.9,2.56,5.9,6.36,3.08,6.49,,4.91,,
November,3.45,3.02,4.71,3.19,3,4.76,3.3,3.78,3.7,2.73,3.21,1.41,7.54,3.99,2.92,0.73,1.47,3.48,1.23,3.87,2.05,5.39,1.96,4.02,6.19,2.07,,0.9,,
December,2.82,3.5,3.01,2.24,0.53,5.26,1.63,5.86,3.01,3.26,2.46,2.11,8.68,1.62,6.36,1.99,3.86,2.75,4.58,3.33,2.27,2.61,4.36,3.16,2.58,3.45,,2.29,,
Total,30.2,31.85,34.82,34.31,30.49,41.26,37.47,32.27,39.32,37.05,35.13,33.15,49.25,31.72,38.73,25.18,25.92,33.6,32.01,34.53,36.35,42.04,42.05,39,32.14,31.93,38.53,36.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842 May and Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845 Dec transc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849 Nov transc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVER Rev T R Robinson was Atronomer at the Observatory and this record almost certainly relates to that site (station number 6193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
