LOCH DUICH (RATAGAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG919197,Long,-5.448449,Lat,57.220609,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.98,16.25,16.97,2.42,15.66,8.95,16.75,11.41,13.23,11.38,4.62,12.08,16.23,4.63,0.62,0.82,8.07,7.07,15.55,6.52,8.98,6.51,7.14,12.75,7.87,8.11,7.09,7.53,8.33,5.8,7.44,15.94,10.89,4.42,5.75
February,,,,,,,5.54,3.71,10.99,1.84,1.15,9.15,0.43,6.77,4.09,12.99,1.99,8.4,10.14,10.15,1.88,5.88,3.37,11.76,4.83,8.47,6.57,0,6.1,11.77,8.55,5.28,4.57,7.45,5.57,4.62,6.58,6.8,6,5.66,5.86
March,,,,,,,10.73,7.4,6.46,2.37,4.88,1.04,3.74,4.12,4.72,6.46,2.85,1.75,20.4,6.57,5.26,2.44,1.49,7.55,4.88,7.57,3.81,0.55,6.91,4.03,6.87,3.21,4.59,4.44,5.23,2.2,2.93,6.49,3.05,6.76,1.6
April,,,,,,,4.34,13.55,4.07,4.29,2.91,4.73,8.05,7.39,5.69,3.34,1.94,1.59,2.96,4.84,3.81,3.28,1.77,10.58,4.03,3.07,5.31,11.35,6.72,10.85,7.49,6.39,4.42,6.88,3.38,5.46,4.29,4.04,5.75,6.57,6.89
May,,,,,,,3.55,3.29,1.26,4.74,5.3,6.05,2.17,2.61,7.84,1.69,1.08,3.07,4.21,1.66,2.35,2.27,2.54,4.2,7.02,5.9,1.25,1.87,2.35,3.61,2.37,1.12,3.83,4.17,3.83,3.9,7.64,1.43,7.04,2.59,3.03
June,,,,,,,3.03,6.1,6.05,5.02,5.52,5.75,2.58,4,3.22,3.13,2.25,5.51,9.31,2.68,3.09,2.15,4.52,6.75,8.63,8.23,6.42,4.73,5.31,2.33,7.22,2.43,4.86,1.03,6.76,4.61,3.36,5.16,2.37,8.1,6.28
July,,,,,,,6.69,4.02,12.18,5.23,2.36,8.19,8.05,7.73,7.09,5.61,4.79,5.38,6.26,8.59,8.28,7.49,6.83,5.55,1.33,3.98,9.18,4.8,5.32,4.03,5.07,6.03,5.68,7.67,6.43,1.15,7.15,6.93,2.87,9.64,3.76
August,,,,,,,7.07,6.14,4.42,7.69,10.61,2.49,5.16,9,8.78,9.53,4.65,4.13,4.01,3.11,8.22,11.72,8.33,6.11,6.52,3.19,5.08,0.04,7.06,8.3,8.79,4.78,5.83,8.46,5.14,2.45,5.55,6.38,4.92,8.17,7.61
September,,,,,,,6.75,9.41,7.11,8.14,4.88,1.54,8.68,1.15,9.23,14.59,3.68,8.16,6.34,2.99,6.8,3.26,10.49,5.65,5.31,7.06,10.4,8.67,11.4,7.93,13.1,6.15,9.29,10.1,10.64,10.49,6.75,7.11,3.87,3.76,5.4
October,,,,,,,9.07,10.05,10.9,16.64,12.09,9.9,11.82,9.2,15.88,15.56,9.11,3.84,17.64,1.4,9.2,7.83,14.11,12.13,10.17,5.13,0.95,7.36,9.76,7.5,8.55,4.45,11.16,6.84,13.36,10.77,9.13,13.78,12.89,11.88,1.42
November,,,,,,,10.33,8.78,11.17,9.5,10.96,8.15,13.44,3.17,4.99,6.49,6.32,2.55,15.8,12.25,12.96,8.86,4.72,7.15,7.99,1.35,5.22,13.46,7.74,9.7,6.56,6.82,6.08,17.09,11.13,3.01,8.33,4.67,3.14,10.65,6.94
December,,,,,,,10.94,0.49,10.29,14.79,9.65,13.29,9.67,3.04,7.91,2.94,16.2,2.37,8.89,4.05,11.13,10.2,15.15,7.53,9.81,5.5,8.33,4.28,7.97,16.31,5.96,13.58,10,9.55,14.88,11.23,15.73,12.63,5.96,10.83,9.95
Total,,,,,,,90.02,89.19,101.87,82.67,85.97,79.23,90.54,69.59,92.67,93.71,59.48,58.83,122.19,62.92,73.6,66.2,81.39,92.03,86.07,65.97,71.5,63.62,83.78,99.11,88.4,68.35,77.4,91.21,94.68,65.69,84.88,91.36,68.75,89.03,64.49
