"LOCH DUICH (RATAGAN)",,,,,,,,,,,,
Grid ref,NG919197,Long,-5.448449,Lat,57.220609,,,,,,,
Station no,5787,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.11,7.09,7.53,8.33,5.80,7.44,15.94,10.89,4.42,5.75,,
February,5.28,4.57,7.45,5.57,4.62,6.58,6.80,6.00,5.66,5.86,,
March,3.21,4.59,4.44,5.23,2.20,2.93,6.49,3.05,6.76,1.60,,
April,6.39,4.42,6.88,3.38,5.46,4.29,4.04,5.75,6.57,6.89,,
May,1.12,3.83,4.17,3.83,3.90,7.64,1.43,7.04,2.59,3.03,,
June,2.43,4.86,1.03,6.76,4.61,3.36,5.16,2.37,8.10,6.28,,
July,6.03,5.68,7.67,6.43,1.15,7.15,6.93,2.87,9.64,3.76,,
August,4.78,5.83,8.46,5.14,2.45,5.55,6.38,4.92,8.17,7.61,,
September,6.15,9.29,10.10,10.64,10.49,6.75,7.11,3.87,3.76,5.40,,
October,4.45,11.16,6.84,13.36,10.77,9.13,13.78,12.89,11.88,1.42,,
November,6.82,6.08,17.09,11.13,3.01,8.33,4.67,3.14,10.65,6.94,,
December,13.58,10.00,9.55,14.88,11.23,15.73,12.63,5.96,10.83,9.95,,
Total,68.35,77.40,91.21,94.68,65.69,84.88,91.36,68.75,89.03,64.49,,
Calc annual,68.35,77.40,91.21,94.68,65.69,84.88,91.36,68.75,89.03,64.49,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
