SELATYN,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ268339,Long,-3.0895967,Lat,52.897539,Elevation,760,ft.,,,,,,,,,,,,
Station no,RR2297,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,4.92,1.66,7.61,,,,,,,,
February,,,,,,,,,,1.56,4,1.27,,,,,,,,
March,,,,,,,,,,1.12,1.31,4.64,,,,,,,,
April,,,,,,,,,,4.34,4.66,2.32,,,,,,,,
May,,,,,,,,,,2.99,2.66,,,,,,,,,
June,,,,,,,,,,1.2,1.26,,,,,,,,,
July,,,,,,,,,,3.13,3,,,,,,,,,
August,,,,,,,,,,2.37,3.25,,,,,,,,,
September,,,,,,,,,,4.9,3,,,,,,,,,
October,,,,,,,,,,5.28,1.99,,,,,,,,,
November,,,,,,,,,,3.28,4.25,,,,,,,,,
December,,,,,,,,,,4.88,3.98,,,,,,,,,
Total,,,,,,,,,,39.97,35.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the rectory, the observer is a vicar. Altitude is from OS map",,,,,,,,,,,,,,,,,,,,
