CROYDON-TANFIELD-LODGE-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ322648,Long,-0.10231,Lat,51.36709,Elevation,155,ft,,,,,,,,,,,,
Station no,RR4450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.02,2.49,0.38,,,,,,,,,
February,,,,,,,,,1.37,3.21,2.5,,,,,,,,,
March,,,,,,,2.91,,1.13,0.56,0.6,,,,,,,,,
April,,,,,,,1.68,,3.62,2.52,1.94,,,,,,,,,
May,,,,,,,-999,,3.64,3.63,0.41,,,,,,,,,
June,,,,,,,-999,,3.67,3.73,3.4,,,,,,,,,
July,,,,,,,-999,,0.74,3.5,2.91,,,,,,,,,
August,,,,,,,-999,,5.24,4.21,0.57,,,,,,,,,
September,,,,,,,-999,,0.84,3.22,4.48,,,,,,,,,
October,,,,,,,1.34,,2.26,0.63,7.16,,,,,,,,,
November,,,,,,,2.75,,3.49,1.22,2.09,,,,,,,,,
December,,,,,,,6.91,,1.36,0.85,2.76,,,,,,,,,
Total,,,,,,,,31.34,28.38,29.77,29.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
New gauge 80yrds from old one,,,,,,,,,,,,,,,,,,,,
No details as to which direction it moved so original NGR left,,,,,,,,,,,,,,,,,,,,
1878 May-Sept bracketed Combined value 7.94,,,,,,,,,,,,,,,,,,,,
