"CHATTERIS (CEMETERY)",,,,,,,,,,,,
Grid ref,TL396864,Long,0.053131,Lat,52.457715,,,,,,,
Station no,1217/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.57,1.06,0.91,1.69,3.56,1.03,2.13,,,,
February,2.43,0.49,1.44,1.85,2.02,0.66,2.17,3.05,,,,
March,2.83,2.44,0.85,2.50,1.46,0.34,1.60,1.12,,,,
April,2.37,1.51,1.58,0.20,0.51,1.07,0.26,0.81,,,,
May,3.16,1.92,1.90,2.50,2.22,0.77,1.19,2.84,,,,
June,1.48,1.04,3.47,2.08,2.56,2.56,1.80,4.89,,,,
July,0.63,0.46,2.42,2.51,0.20,2.97,2.58,2.66,,,,
August,2.98,3.35,2.76,4.47,0.74,4.47,1.77,2.88,,,,
September,1.83,1.98,0.68,1.85,1.10,1.20,4.45,3.19,,,,
October,0.96,2.20,2.32,1.67,1.79,1.38,1.34,2.06,,,,
November,3.18,2.92,1.23,4.07,0.93,1.50,1.75,1.32,,,,
December,1.16,1.58,0.67,2.35,1.38,2.06,1.80,2.29,,,,
Total,25.39,21.46,20.38,26.96,16.60,22.54,21.74,29.24,,,,
Calc annual,25.39,21.46,20.38,26.96,16.60,22.54,21.74,29.24,0.00,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
