IPSWICH-DALE-HALL (HENLEY ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM161460,Long,1.15281,Lat,52.07015,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.82,4.18,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.53,3.06,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.49,2.41,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.2,2.47,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.74,2.67,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,4.32,1.26,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.14,0.95,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.79,1.43,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.85,1.77,1.72,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,3.93,2.71,1.69,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,1.99,1.16,2.83,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,23.87,25.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Sep gauge moved from Dale Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
