HAWESWATER MARDALE GREEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NY467117,Long,-2.8244711,Lat,54.49781,Elevation,747,ft,,,,,,,,,,,,
Station no,RR3140,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,12.25,7.75,21,25,12.75,17,6,18,9,2,3.25,1,9,15,17,5.5,9.5,9.7,5,6.5
February,8,10,13,1.25,6.25,4,11,8,,5,12,10.5,11.5,11,8,20,2.5,7.25,1,2.5
March,5,7.25,8.75,3.75,7.5,3,10,4,,9,5.5,13,9.5,3,10,9,15,3.5,6.5,6.25
April,3.25,5,3.25,0.5,3.75,3,10,4,,4,4,2.75,8,2,2.25,4.5,2,5.5,9,
May,8.5,1.75,5.25,2.25,2,3.5,1,7,,3,1.5,8.5,5,3.5,6,6,9.25,3.25,,
June,2.75,3,7,5.5,4,8,2,6.5,,2.5,6,10,9.5,4.5,0.5,3,2,1,,
July,1,9.5,6.25,10,3,5,4.25,9.5,0,7,7.5,7,13.5,3,3,3.5,10,6.5,10,
August,2.5,8.25,7.25,9.5,11.25,5.5,3,10,6.5,9.5,0.37,10.25,8.5,6.5,9.5,8.5,10,4,7,
September,6.5,4.75,12,6.5,11.5,8,6,6.5,,9,,4.5,3,5.5,8,13,13,7.5,1,
October,19,10.5,15,10.25,23.5,7.5,6.25,-999,8,3,2.5,4.5,11.5,11,4.5,10.5,10,5.5,14,
November,8,2.5,13.75,6,5,7,6,-999,5,2,15.5,17,6.5,11.25,6,7.5,1.5,11.25,29,
December,4.5,13.15,12.75,6.25,10,8,13,9,,6.5,7.5,12.5,7,8.5,6,3.5,13.3,4,15,
Total,81.25,83.4,125.25,86.75,100.5,79.5,78.5,118.5,,62.5,,101.5,102.5,84.75,80.75,94.5,98.05,68.95,,
,,,,,,,,,,,,,,,,,,,,
1870 July - noted only one slight shower during the month.,,,,,,,,,,,,,,,,,,,,
1877 Oct/Nov bracketed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
