"HAWESWATER, MARDALE GREEN - observer H P Holme",,,,,,,,,,
Grid ref,NY467117,Long,-2.8244711,Lat,54.49781,Elevation,747,ft,,
Station no,RR3140,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.66,10.41,10.18,,,,,,
February,,8.79,11.44,11.61,,,,,,
March,,9.1,11.52,4.07,,,,,,
April,,2.46,7.88,2.4,,,,,,
May,,8.85,5.32,4.36,,,,,,
June,,9.35,7.21,5,,,,,,
July,,7.42,13.77,-999,,,,,,
August,,10.06,7.44,-999,,,,,,
September,,4.03,5.86,6.89,,,,,,
October,,4.51,-999,-999,,,,,,
November,,16.28,-999,-999,,,,,,
December,,12.2,8.75,8.53,,,,,,
Total,,93.71,109.83,80.11,,,,,,
,,,,,,,,,,
1882 Oct/Nov bracketed,,,,,,,,,,
1883 July/Aug bracketed 11.69; Oct/Nov bracketed 15.38,,,,,,,,,,
