DUNASKIN (ARDOON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS441086,Long,-4.460117,Lat,55.346624,Elevation,686,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5258/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.22,6.62,3.18,4.89,7.41,7.46,4.01,2.17,1.04,5.77,4.91,6.07,5.09,5.85,4.08,9.13,6.42,4.04,4.52,6.68,3.22,4.74,3.08,3.08,7.33,5.13,2.02,3.67
February,,,3.6,0.96,6.93,2.32,6.13,2.54,5.45,2.52,2.99,2.52,5.08,2.53,6.16,4,0.31,3.59,5.12,3.75,3.82,2.11,1.56,2.87,1.4,1.05,2.82,6.33,1.32,3.86
March,,,2.86,3.54,2.86,2.66,1.23,3.18,4.77,6.22,2.69,1.69,3.11,1.03,3.05,2.39,2.97,4.4,2.82,3.1,3.62,1.88,0.9,3.42,1.31,2.38,4.77,1.11,2.24,2.05
April,,,2.21,3.42,3.54,0.96,2.24,0.66,3.08,1.98,2.43,1.95,4.56,2.89,1.74,1.68,6.32,3.05,5.26,4.32,3.32,2.14,2.53,1.54,1.84,,1.78,2.04,2.61,3.24
May,,,3.01,3.65,1.14,2.9,1.76,3.2,0.85,2.22,4.5,2.35,3.74,3.52,3.96,0.81,4.32,1.28,2.21,2.28,2.45,2.03,3.13,2.79,3.64,,1.95,3.43,1.27,1.26
June,,,2.48,3.05,3.93,2.37,2.98,6.07,2.4,1.65,1.41,1.92,4.57,4.65,4.55,2.87,4.02,5.67,0.9,3.24,1.93,3.02,2.08,4.7,3.17,,1.94,3.77,2.03,3.34
July,,,3.56,3.03,2.79,7.83,4.71,4.64,3.83,6.41,3.92,4.59,2.78,2.67,3.87,5.31,3.91,3.93,2.09,4.76,3.44,3.23,5.37,6.12,1.86,,4.28,4.87,2.28,5.14
August,,,3.26,6.17,2.02,3.82,2.84,3.2,1.92,3.45,6.01,4.69,4.93,5.17,3.61,3.04,0.3,6.52,4.4,4.67,5.25,4.3,4.04,5.47,1.95,,5.62,4.77,0.34,4.82
September,,,1.35,6.1,5.32,5.46,2.6,5.25,2.41,6.71,1.5,5.66,2.9,6.49,8.37,7.49,5.6,6.03,2.8,10.05,5.17,3.9,7.29,6.57,4.95,,3.99,3.42,1,3.58
October,,6.4,3.59,9.44,10.21,7.09,4.51,11.48,2.17,5.58,4.44,8.6,8.88,5.59,4.27,0.73,1.92,5.88,7.23,4.92,1.35,4.13,3.9,8.4,3.76,,4.95,3.17,1.93,2.2
November,,4.23,2.14,1.39,6.41,5.26,0.72,8.53,9.84,5.78,3.67,1.73,3.96,7,0.53,6.26,7.73,3.58,7.89,4.85,7.81,2.91,7.55,7.09,2.94,,3.11,1.94,2.34,9.86
December,,7.89,1.55,6.75,4.32,6.79,2.45,3.64,2.27,6.58,3.25,6.62,2.73,7.44,3.3,4.65,3.59,6.87,9.11,2.06,9.5,4.75,4.63,6.51,8.07,,5.32,4.86,2.51,6.28
Total,,,34.83,54.12,52.65,52.35,39.58,59.85,43,51.27,37.85,48.09,52.15,55.05,48.5,45.08,45.07,59.93,56.25,52.04,52.18,41.08,46.2,60.22,37.97,,47.86,44.84,21.89,49.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5258/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,642674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
