SOUTHPORT (SANDBROOK ROAD P.S.),,,,,,,,,,
Grid ref,SD318119,Long,-3.03202,Lat,53.599211,Elevation,25,ft,,
Station no,3009/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.77,2.42,2.48,3.07,4.75
February,,,,,,0.23,2.41,5.28,0.35,2.06
March,,,,,,0.75,2.31,1.58,1.56,2.01
April,,,,,,1.92,0.17,0.98,2.67,1.47
May,,,,,,1.17,1.85,3.86,1.99,2.47
June,,,,,,1.3,1.29,3.17,2.89,0.93
July,,,,,,4.57,3.81,3.49,4.45,3.59
August,,,,,,10.8,4.33,3.74,0.38,2.93
September,,,,,,2.87,5.61,3.37,0.5,3.07
October,,,,,,2.14,4.12,2.95,3.05,3.44
November,,,,,,1.43,1.4,1.6,4.37,7.07
December,,,,,,2.56,2.82,3.27,6.34,3.7
Total,,,,,,33.51,32.54,35.77,31.62,37.49
