BURNLEY SIMONSTONE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD779342,Long,-2.3370443,Lat,53.803623,Elevation,366,ft,,,,,,,,,,,,
Station no,RR6771,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,4.6,1.2,0.39,0.68,3.54,5.45,6.84,,,,,
February,,,,,,,,,1.41,2.47,3.27,5.39,2.77,3.63,3.78,,,,,
March,,,,,,,,,2.51,2.01,2.93,4.24,4.24,1.54,3.21,,,,,
April,,,,,,,,,1.89,1.56,1.63,1.65,5.01,2.23,1.29,,,,,
May,,,,,,,,,4.27,1.84,2.75,3.78,2.19,1.03,1.83,,,,,
June,,,,,,,,,2.68,5.37,3.63,2.21,5.51,3.8,0.87,,,,,
July,,,,,,,,,0.97,5.56,4.23,5.81,6.42,3.85,4.42,,,,,
August,,,,,,,,,5.77,5.82,1.64,5.17,4.64,2.79,2.35,,,,,
September,,,,,,,,,4.12,2.56,4.62,1.82,2.24,5.99,3.25,,,,,
October,,,,,,,,,5.03,2.61,3.42,2.51,4.01,5.91,3.49,,,,,
November,,,,,,,,,3.41,1.23,4.92,4.5,7.04,4.53,1.62,,,,,
December,,,,,,,,,2.1,2.55,7.58,4.36,3.97,4.12,5.69,,,,,
Total,,,,,,,,,38.76,34.78,41.01,42.12,51.58,44.87,38.64,,,,,
