WEYMOUTH-LANGTON-HERRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY613825,Long,-2.54804,Lat,50.64104,Elevation,158,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,5.05,1.18,6.2,1.65,5.35,0.92,2.89,1.36,3.48,3.31,2.66,3.58,3.17,1.35,0.68,3.71,2.5,2,2.04,3.37,4.07,1.09,1.95,,
February,,,,,,2.61,3.19,1.33,2.3,4.25,3.74,4.76,1.6,4.73,3.08,3.93,0.86,0.71,0.56,2.04,0.76,0.03,1.25,3.66,2.56,0.02,0.37,4.43,,
March,,,,,,0.81,3.37,2.26,1.77,0.42,1.13,2.68,1.04,0.96,2.69,1.49,3.17,1.27,3.01,1.57,1.02,3.58,0.77,0.32,1.13,2.33,2.72,4.51,,
April,,,,,,1.08,2.39,4.23,4,2.66,1.74,1.62,4.19,1.23,2.36,2.34,1.43,0.77,1.33,1.82,3,0.72,1.13,0.15,2.5,2.36,0.67,2.92,,
May,,,,,,1.96,0.18,2.44,4.04,2.2,1.11,0.72,1.67,1.78,0.77,2.73,2.51,1.93,1.58,1.24,1.74,2.08,0.6,1.13,1.45,0.31,0.15,1.42,,
June,,,,,,2.31,1.14,0.7,0.89,5.54,1.52,2.84,3.94,1.87,2.9,1.46,0.71,0.36,3.15,3.55,2.51,2.24,0.81,0.59,1.91,2,1.91,2.94,,
July,,,,,,3.66,0.64,2.72,2.04,3.6,3.51,1.64,2.79,1.93,2.41,0.25,2.53,0.97,3.23,2.18,2.66,1.79,2.84,4.48,4.31,2.38,0.72,0.41,,
August,,,,,,2.58,3.35,2.47,2.32,5.49,0.74,5.56,2.74,0.72,1.35,1.04,1.13,2.06,1.79,2.2,2.19,5.68,2.67,1.01,3.17,2.69,1.04,,,
September,,,,,,2.18,5.5,2.13,1.66,3.91,3.59,2.61,2.31,4.52,1.27,3.18,1.98,2.73,1.16,0.88,1.41,2.31,2.61,2.04,4.06,0.54,6.76,,,
October,,,,,,8.65,2.86,2.16,3.12,1.2,4.61,2.76,7.15,2.31,0.94,3.99,3.93,2.97,2.39,4.33,1.18,8.77,4.45,4.05,3.82,3.27,2.47,,,
November,,,,,,4.62,4.89,8.02,2.31,0.08,3.2,4.9,3.81,3.17,1.82,3.35,3.13,3.72,7.99,1.48,2.63,3.92,3.55,1.55,7.1,5.85,0.76,,,
December,,,,,,0.77,9.18,1.58,2.5,0.74,4.25,3.15,3.68,0.64,4.29,1.77,6.24,2.69,1.93,2.38,1.63,3.97,1.93,3.04,2.14,4.63,5.65,,,
Total,,,,,,36.28,37.87,36.24,28.6,35.44,30.06,36.13,36.28,27.34,27.19,28.19,31.2,23.35,29.47,24.35,24.44,37.59,24.61,24.06,37.52,30.45,24.31,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rectory Langton Herring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
