"STRATHTAY DUNROS",,,,,,,,,,,,
Grid ref,NN907533,Long,-3.784621,Lat,56.658677,,,,,,,
Station no,5555,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.74,5.41,2.04,2.36,4.16,,
February,,,,,,2.23,3.31,2.93,2.99,0.76,,
March,,,,,,4.53,2.15,2.51,4.55,2.77,,
April,,,,,,2.53,1.16,3.13,1.11,3.61,,
May,,,,,,1.42,5.17,3.50,1.98,3.21,,
June,,,,,1.34,1.42,0.80,2.99,1.35,1.40,,
July,,,,,1.52,1.50,1.87,1.87,2.80,2.50,,
August,,,,,3.59,3.67,3.82,4.19,2.38,2.07,,
September,,,,,2.85,1.84,1.36,1.09,4.09,1.55,,
October,,,,,0.69,2.45,4.77,3.72,2.02,6.55,,
November,,,,,1.30,4.30,4.82,1.92,2.67,1.19,,
December,,,,,2.66,2.46,2.90,3.61,3.03,3.12,,
Total,,,,,,30.09,37.54,33.50,31.33,32.89,,
Calc annual,0.00,0.00,0.00,0.00,13.95,30.09,37.54,33.50,31.33,32.89,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
