STRATHTAY DUNROS,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN907533,Long,-3.784621,Lat,56.658677,Elevation,400,ft,,,,,,,,,,,,,,,,,
Station no,5555,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,,,,,,1.74,5.41,2.04,2.36,4.16,4.34,1.11,7.53,6.55,2.71,3.44,4.46,1.68,2.45,2.47,4.81,4.58,7.24,3.15,2.39
February,,,,,,2.23,3.31,2.93,2.99,0.76,4.19,2.87,3.25,2.16,4.45,8.01,4.27,0.91,4.1,1.45,4.2,0.57,3.43,9.25,1.6
March,,,,,,4.53,2.15,2.51,4.55,2.77,2.21,1.29,3,5.06,3.19,1.65,1.6,2.86,0.66,2.52,3.89,4.44,1.62,1.83,0.96
April,,,,,,2.53,1.16,3.13,1.11,3.61,4.34,2.29,0.51,3.29,1.42,2.44,1.81,1.32,0.84,1.36,1.65,0.81,2.27,2.68,2.57
May,,,,,,1.42,5.17,3.5,1.98,3.21,0.94,1.64,1.2,6.39,1.48,1.58,2.79,2.7,3.65,1.32,2.59,2,2.07,1.88,3.48
June,,,,,1.34,1.42,0.8,2.99,1.35,1.4,3.59,2.02,3.96,1.68,1.04,2.14,2.38,2.38,0.81,1.51,0.8,0.7,1.48,0.94,1.45
July,,,,,1.52,1.5,1.87,1.87,2.8,2.5,4.43,1.77,1.63,0.59,3.21,2.85,6.55,1.27,5.16,0.21,2.27,2.82,3.04,2.18,
August,,,,,3.59,3.67,3.82,4.19,2.38,2.07,7.71,1.94,4.17,0.99,2.44,4.16,4.19,3.6,2.18,1.36,4.31,4.43,1.32,5.44,
September,,,,,2.85,1.84,1.36,1.09,4.09,1.55,0.9,0.68,2.05,1.98,1.25,1.82,1.51,1.57,3.53,1.82,2.09,1.55,2.02,3.54,
October,,,,,0.69,2.45,4.77,3.72,2.02,6.55,2.45,2.1,3.02,2.04,1.88,4.08,6.26,3.73,3.5,0.96,4.78,2.42,1.5,5.03,
November,,,,,1.3,4.3,4.82,1.92,2.67,1.19,3.75,4.62,3.46,3.1,5.5,2.45,5.69,4.04,4.07,5.15,3.64,2.99,1.64,2.89,
December,,,,,2.66,2.46,2.9,3.61,3.03,3.12,5.39,6.99,6.98,2.38,7.9,7.03,4.06,1.18,2.53,5.93,4.56,4.52,5.08,3.06,
Total,,,,,,30.09,37.54,33.5,31.33,32.89,44.24,29.32,40.76,36.21,36.47,41.65,45.57,27.24,33.48,26.06,39.59,31.83,32.71,41.87,
,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Jul aug Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5555,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15152,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,
