"GRANDTULLY, DUNROS (BAILAMEES)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 91447 53254,Long,-3.772426,Lat,56.658433,Elevation,233,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.94,5.91,5.19,8.54,1.33,5.2,3.75,5.59,2.81,4.38,1.67,3.99,8.98,6.42,3.34,2.06,1.38,3.09,5.77,3.4,3.36,4.33,,,,
February,,,,,,5.12,4.53,1.02,3.28,2.33,0.67,2.03,0.07,3.59,0.61,3.87,1.95,2.85,1.33,3.32,2.23,3.88,1.41,2.66,0.98,3.9,2.75,,,,
March,,,,,,1.49,2.05,2.66,6.81,0.51,1.43,0.85,2.02,1.61,2.26,2.04,1.69,1.52,0.76,2.19,2.37,2.11,2.43,1.62,0.57,2.17,1.33,,,,
April,,,,,,3.24,1.92,1.72,1.14,0.99,1.65,2.26,3.32,1,2.51,3.2,0.48,1.18,0.3,1.86,2.69,1.1,2.42,2.06,2.33,0.74,0.53,,,,
May,,,,,,4.08,2,2.25,1.35,3.03,1.14,3.59,2.53,1.61,2.1,0.57,0.75,2.65,2.48,1.04,0.9,2.92,3.56,2.04,1.89,4.91,1.54,,,,
June,,,,,,0.36,4.07,2.54,2.98,1.76,1.19,5,0.91,0.6,1.69,5.75,1.51,0.92,3.41,0.88,0.29,0.72,1.5,1.76,3.15,2.83,2.48,,,,
July,,,,,,1.95,3.66,3.9,0.89,2.4,2.1,5.69,2.66,2.4,3.65,0.73,3.98,3.89,4.58,3.66,4.2,2.85,1.59,1.74,2.8,3.29,3.7,,,,
August,,,,,,2.66,1.84,6.2,4.61,2.59,6.72,1.42,1.64,0.87,4.46,1.59,1.63,3.11,2.37,1.76,1.05,3.84,2.97,4.21,2.9,1.17,2.97,,,,
September,,,,,4.5,2.71,3.22,3.36,3.27,0.96,3.64,0.97,1.74,1.59,3.81,4.17,2.86,1.67,2.83,2.52,1.2,1.43,4.11,2.5,3.8,4.3,3.81,,,,
October,,,,,2.76,3.29,5.8,4,5.29,4.47,4.18,1.86,6.4,3.08,4.93,5.55,2.95,3.13,6.02,7.23,5.46,3.41,2.68,7.1,4.02,4.54,,,,,
November,,,,,2.19,0.88,6.23,2.73,4.25,3.97,5.16,6.52,2.71,2.9,0.28,4.32,2.6,0.35,6.07,5.17,5.4,5.55,0.53,1.82,4.76,0.85,,,,,
December,,,,,6.25,3.66,0.99,1.49,3.77,9.01,4.97,2.66,5.23,0.57,7.31,2.59,5.31,2.58,4.33,1.93,3.27,3.17,4.26,2.21,4.2,6.38,,,,,
Total,,,,,,33.38,42.22,37.06,46.18,33.35,38.05,36.6,34.82,22.63,37.99,36.05,29.7,32.83,40.9,34.9,31.12,32.36,30.55,35.49,34.8,38.44,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Jul aug Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,864145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
