HAYFIELD-TUNSTEAD-CLOUGH-NEW-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK059869,Long,-1.9127733,Lat,53.378921,Elevation,1125,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.97,5.26,4.45,6.49,,3.6,,5.37,6.8,4.77,5.22,3.5,10,3.7,3.62,5.15,5.4,2.85,4.27,3.28,6.88,,4.25,4.5,8.05
February,,,,,,3.42,6.74,1.49,3.49,,6.5,,3.4,3.62,,6.51,,3.34,2.22,4.73,4.59,2.82,4.05,3.43,2.75,2.25,3.2,,0.45,4.8
March,,,,,,2.73,7.13,1.78,2.69,2.92,5.25,2.86,1.23,1.31,1.68,1.9,,1.4,2.57,2,6.45,2.8,2.75,3.45,4.04,2.03,2.85,2.45,2.2,1.7
April,,,,,3.22,1.2,4.01,0.44,3.18,3.38,2.37,1.6,1.6,3.05,2.09,1.65,2.95,1.95,3.94,3.66,3.06,3.2,3.05,1.2,1.95,1.8,,1.2,3.08,2.33
May,,,,,0.33,1.94,2.48,3.65,2.21,1.05,2.83,3.86,2.78,5.81,3.55,1.63,3.8,1.3,2.4,1.2,2.5,3,2.25,3.5,4.54,1.55,1.25,3.9,0.7,2.25
June,,,,,3.58,3.62,1.78,,2.62,1,2.69,1.17,3.32,3.48,3.59,3.77,2.37,5.52,1.4,2.58,1.5,3.05,2.65,3,3.4,3.05,1.55,5.45,1.8,1.22
July,,,,,2.12,7.83,4.55,,6.98,4.59,3.38,5.22,1.83,3.91,1.9,5,3.3,2.74,,3.11,3.21,4.5,5.3,6.75,0.8,5.5,6.45,5.72,4,7.53
August,,,,,1.77,2.5,1.13,2.9,2.21,2.27,6.25,3.9,4.95,3.23,3.1,5.3,0.52,5.8,4.03,4.1,6,2.45,4.6,6.15,0.5,9.2,6.75,4.05,0.45,7.08
September,,,,,5.9,7.39,1.12,3.21,1.32,3.55,0.68,3.25,5.31,5.11,2,5.68,2.11,2.7,2,5.81,2.53,4.9,2.75,4.6,1.78,4.3,8.35,5.45,0.07,4.75
October,,,,,7.83,4.77,3.45,6.56,3.8,3.93,5.27,7.17,2.8,,6.1,1.37,1,2.86,4.5,2.25,1.36,5.25,2.8,8.5,2.38,2.54,3.96,4.65,3.7,6.15
November,,,,,5.9,4.98,2.12,4.66,6.5,7.95,3.46,1.55,3.93,7.14,0.53,6.79,5.8,2.75,5.5,5,9.36,3.55,3.1,7.36,2.3,1.78,2.7,2.1,6,6.75
December,,,,,4.4,4.74,3.93,6.39,2.56,4.43,3.38,3.87,2.55,3.4,,4.91,5.6,3.45,6.05,4.25,5.81,4.05,2.15,7.5,5.14,,5.45,4.1,7.15,4.6
Total,,,,,,49.09,43.7,,44.05,,45.66,,39.07,,,49.73,,43.81,,42.31,51.52,44.97,38.3,59.71,32.86,,,,34.1,57.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is above Turnstead Clough at the stated altitude and relationship to the church. The 1950s record has an NGR of SK064867, which is 200 ft. higher and does not match the distance to the church; note the observer for this set of records in this area has a very accurate relationship to the church and station, which lends credibility to the NGR used. Have moved the NGR 200m or so N to be on a south exposed slope as noted in the record. Note completely different Station Nos for the sites before and after the move.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
