"WEST BALDWIN RESERVOIR - old gauge, 8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC358831,Long,-4.519785,Lat,54.217239,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.46,4.83,3.41,5.77,7.14,5.54,6.13,7.58,4.39,7.49,3.47,7.31,4.39,10.2,3.77,7.15,8.26,4.6,5.47,5.89,,7.55,5.24,6.2,7.55,6.81
February,,,,,,7.43,3.28,4.69,5.56,2.7,2,1.16,5.61,6.89,1.45,5.65,5.93,3.32,4.11,2.72,0.86,4.09,0.15,4.79,0.38,,4.54,7.92,2.27,4.92,3.66
March,,,,,,2.47,2.75,2.69,2.76,4.51,4.94,5.14,1.74,2.14,3.18,1.36,1.24,6.04,6.34,1.39,3.57,1.12,2.45,3.77,4.08,,2.98,3.9,2.19,4.59,5.86
April,,,,,,3.57,4.26,2.83,2.37,2.95,5.21,1.73,4.48,3.57,3.78,3.6,1.98,2.52,1.91,2.07,2.61,2.42,4.01,2.35,3.17,,1.81,4.27,0.56,3.07,5.38
May,,,,,,1.78,5.39,2.87,3.33,2.95,4.57,2.93,1.5,2.97,5.87,5.38,2.87,2.89,1.55,3.46,2.35,4.39,4.54,2.4,3.54,,3.23,2.21,5.56,1.13,1.75
June,,,,,,1.1,4.11,2.48,3.11,2.42,3.88,0.27,2.28,1.55,3.97,0.25,2.42,4.39,6.18,2.08,2.78,5.99,2.86,2.5,3.01,,3.64,3.84,6.79,2.75,1.43
July,,,,,,4.5,3.07,1.88,4.38,1.41,4.93,4.35,4.66,3.44,6.47,2.97,3.33,3.9,4.42,3.78,4.29,3.9,3.71,2.9,0.86,,5.94,5.25,6.5,5.73,4.76
August,,,,,,2.06,4.27,7.45,3.13,3.93,4.67,6.06,3.7,8.54,5.78,3.35,3.99,5.7,6.51,6.26,6.64,6.18,3.39,1.73,5.17,,3.6,2.37,2.64,1.8,1.41
September,,,,,,2.27,2.36,3.87,8.25,4.11,4.06,2.86,5.19,4.73,8.47,4.99,3.06,7,3.18,1.09,6.81,6.06,5.18,1.52,6.09,,5.86,3.29,4.48,2.98,4.28
October,,,,,,7.74,9.23,7.23,7.24,4.21,5.54,3.19,1.5,8.38,4.2,6.6,3.93,5.83,11.78,8.71,9.22,3.49,8.67,5.25,7.77,,3.51,5.05,9.42,4.68,5.79
November,,,,,,4.32,5.83,5.8,5.4,3.09,4.35,6.54,5.58,4.48,5.23,3.3,6.92,7.31,9.07,10.07,7.16,15.44,2.81,2.97,3.89,,6.61,2.94,6.9,6.38,8.13
December,,,,,,10.29,3.96,4.74,9.97,9.19,9.4,4.62,6.32,6.67,8.37,5.44,1.44,3.29,6.5,10.45,9.06,4.37,8.08,3.02,13.74,,5.65,6.7,5.53,4.32,6.92
Total,,,,,,51.99,53.34,49.94,61.27,48.61,59.09,44.98,50.14,57.75,64.26,46.36,44.42,56.58,71.75,55.85,62.5,65.71,50.45,38.67,57.59,,54.92,52.98,59.04,49.9,56.18
