BUXTON-GOYTSHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK012748,Long,-1.9834667,Lat,53.270188,Elevation,924,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.43,,2.56,4.51,6.29,8.22,4.53,6.13,4.42,12.71,4.4,3.81,6.05,6.6,2.9,5.07,3.54,8.28,3.46,5.34,4.86,6.9
February,,,,,,,,,4.04,,6.38,2.33,4.42,2.82,4.86,8.6,2.25,4.31,2.56,7.38,6.1,3.1,2.93,4.1,3.08,1.6,3.84,8.73,1,3.89
March,,,,,,,,,3.34,3.49,4.15,2.99,1.64,1.05,2.09,1.83,8,2.37,3.28,2.32,8.29,3.65,3.52,3.71,3.55,2.54,4.51,2.68,2.55,2.01
April,,,,,,,,,3.21,3.44,3.91,2.59,2.94,3.74,2.88,2.38,4.46,2.55,4.35,5.19,3.96,4.73,4.65,1.01,3.44,2.71,0.56,2.19,3.54,2.81
May,,,,,,,,,1.85,1.37,3.53,5.32,4.3,3.46,3.36,2.02,3.12,2.1,3.2,1.64,2.51,2.21,2.42,3.76,5.14,1.62,2.72,5.33,0.96,2.07
June,,,,,,,,,3.14,1.73,2.38,0.73,4.32,4.48,4.9,5.55,2.87,7.17,2.52,4.14,2.51,3.52,4.38,4,3.81,4.31,2.23,7.81,1.96,2.61
July,,,,,,,,,8.02,5.28,3.63,6.77,1.87,4.97,1.87,6.66,3.73,5.37,2.41,3.73,3.34,5.29,5.89,7.3,2.38,7.96,6.76,6.31,4.17,8.06
August,,,,,,,,,3.15,2.57,8,4.73,4.96,3.77,3.3,6.43,0.63,7.06,2.78,4.79,6.75,2.96,6,6,0.85,12.6,7.1,5.1,0.8,4.54
September,,,,,,,,,2.47,4.31,0.73,3.78,5.79,4.63,2.11,7.41,2.67,3.06,1.45,6.76,3.01,5.22,3.73,5.76,3.42,4.46,11.17,6.35,0.32,4.21
October,,,,,,,,,3.45,4.74,6.52,8.08,3.13,5.78,7.39,1.19,1.2,3.47,5.06,2.85,1.47,5.16,2.57,8.27,3.62,3.24,4.87,5.29,4.41,6.24
November,,,,,,,,,7.77,9.29,4.52,1.28,4.66,7.51,0.9,7.95,5.65,3.19,6.83,7.4,12.44,3.72,3.16,7.96,2.86,2.14,2.38,1.99,5.86,6.54
December,,,,,,,,7.46,2.98,6.12,3.45,5.64,3.3,4.39,4.34,5.18,5.88,5.13,7.41,4.74,7.05,5.11,2.43,8.58,5.53,6.82,6.41,5.03,8.75,5.2
Total,,,,,,,,,50.85,,49.76,48.75,47.62,54.82,42.53,61.33,44.88,58.49,46.25,54.75,63.48,51.27,44.58,65.52,41.22,58.28,56.01,62.15,39.18,55.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Goytshead. Altitudes match. Gauge moved 350 yards SW in 1938 from Goytsbridge Farm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
