"BURNTWOOD HALL",,,,,,,,,,,,
Grid ref,SE429092,Long,-1.353561,Lat,53.577650,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.62,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,3.32,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,5.37,,,,
November,,,,,,,,,0.78,0.31,,
December,,,,,,,,,,4.24,,
Total,,,,,,,,28.32,22.33,27.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.99,4.10,4.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.33,18.23,23.36,,
