"BARNSLEY (BURNTWOOD HALL)",,,,,,,,,,,,
Grid ref,SE428093,Long,-1.355058,Lat,53.578556,,,,,,,
Station no,3174,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,2.28,0.39,1.74,1.87,5.37,1.12,2.72,2.33,5.09,,
February,2.69,0.33,1.60,2.47,2.92,1.42,2.17,4.30,0.08,1.88,,
March,2.86,1.84,0.66,3.41,2.79,0.72,1.20,2.34,1.04,1.62,,
April,0.87,1.14,1.83,0.21,0.48,2.45,0.12,0.27,4.42,0.68,,
May,4.79,1.99,1.74,3.65,2.90,0.46,0.83,3.20,0.82,1.01,,
June,0.66,1.22,1.21,1.76,2.27,2.84,2.41,4.55,1.77,1.11,,
July,1.94,1.53,2.39,1.73,0.62,3.67,4.60,4.89,0.96,2.61,,
August,5.62,1.12,2.76,5.48,0.78,5.81,4.56,3.55,0.92,4.03,,
September,1.81,2.09,1.44,1.68,1.11,3.01,3.69,2.33,0.02,3.84,,
October,1.23,3.95,1.67,3.24,2.06,1.28,1.42,1.53,1.74,6.87,,
November,6.53,1.58,1.75,4.79,2.17,0.78,2.42,0.73,3.22,3.72,,
December,2.24,1.65,1.34,2.90,2.42,2.67,2.14,3.50,3.48,2.60,,
Total,33.00,20.72,18.78,33.06,22.39,30.48,26.68,33.91,20.80,35.06,,
Calc annual,33.00,20.72,18.78,33.06,22.39,30.48,26.68,33.91,20.80,35.06,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
