WARE-LITTLE-MUNDEN-SCHOOL,,,,,,,,,,
Grid ref,TL334218,Long,-0.063429,Lat,51.878817,Elevation,320,ft,,
Station no,963/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.66,3.41,0.92,2.03,1.86,2.18
February,,,,,1.59,,2.4,2.3,0.03,1.56
March,,,,,1.17,,1.12,1.09,1.71,1.01
April,,,,,0.5,,0.24,1.07,1.97,0.45
May,,,,,4.3,,,2.22,0.97,1.03
June,,,,,2.48,,1.49,,1.36,1.64
July,,,,,0.15,,2.08,2.95,4.19,2.17
August,,,,,0.93,,1.54,2.99,1.43,2.78
September,,,,,1.42,,3.32,2.82,0.05,4.63
October,,,,,3.33,,1.94,2.56,1.38,5.06
November,,,,,1.06,,2.02,1.52,1.96,3.12
December,,,,,1.94,,1.9,2.52,3.46,3.07
Total,,,,,20.53,,,,20.37,28.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1957 May estimated,,,,,,,,,,
1958 Jun estimated,,,,,,,,,,
