COCKERMOUTH CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY122308,Long,-3.362739,Lat,54.664603,Elevation,177,ft,,,,,,,,,,,,
Station no,3647/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.97,3.26,4.27,5.25,1.36,0.44,4.93,,,,,,,,
February,,,,,,2.18,3.83,1.25,3.96,0.7,3.24,1.83,,,,,,,,
March,,,,,,1.47,0.55,2.67,2.21,4.4,2.22,3.85,,,,,,,,
April,,,,,,0.68,2.39,0.59,1.93,1.65,1.64,2.01,,,,,,,,
May,,,,,,0.42,1.06,3.56,0.56,1.68,4,3.33,,,,,,,,
June,,,,,,2.69,2.12,4.19,2.68,0.83,0.34,1,,,,,,,,
July,,,,,,5.93,2.53,6.83,6.2,5.24,1.74,,,,,,,,,
August,,,,,,1.74,2.69,3.25,2.03,2.2,4.63,,,,,,,,,
September,,,,,,4.04,3.97,3.13,2.38,4.56,0.95,7.25,,,,,,,,
October,,,,,,5.28,2.7,9.79,1.13,3.24,8.4,6.95,,,,,,,,
November,,,,,,3.63,0.88,6.23,5.73,3.52,3,1.25,,,,,,,,
December,,,,,,4.6,2.06,2.75,1.32,3.66,1.92,4.47,,,,,,,,
Total,,,,,,34.63,28.04,48.51,35.38,33.04,32.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1942 June, July and total estimated and therefore removed",,,,,,,,,,,,,,,,,,,,
