PINNER-HATCH-END-IVANHOE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ130915,Long,-0.36948335,Lat,51.611001,Elevation,260,ft.,,,,,,,,,,,,
Station no,RR7746,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.61,1.17,4.17,1.02,1.71,0.84,2.13,1.51,4.04,2.97,,,,,,
February,,,,,3.2,0.86,2.19,1.47,1.39,0.54,3.36,1.95,1.97,0.95,,,,,,
March,,,,,1.42,3.49,1.29,1.05,3.34,3.17,1.13,1.83,3.81,2.18,,,,,,
April,,,,,1.06,1.6,0.46,3.25,2.92,2.05,1.7,1.65,0.04,2.97,,,,,,
May,,,,,2.1,1.07,1.45,1.67,1.61,1.38,2.32,3.21,1.27,1.43,,,,,,
June,,,,,1.01,3.16,2.62,1.84,1.79,2.94,2.97,2.4,2.64,0.33,,,,,,
July,,,,,2.69,2.33,1.38,2.06,3.9,3.64,2.17,0.51,1.7,2.09,,,,,,
August,,,,,1.39,2.26,0.78,1.69,2.89,2.26,2.97,1.05,4.82,0.99,,,,,,
September,,,,,1.96,1.42,1.53,0.76,1.36,2.5,0.42,1.48,2.49,1.39,,,,,,
October,,,,,1.93,1,3.92,4.78,2.72,5.07,2.79,2.99,2.46,3.33,,,,,,
November,,,,,1.66,2.69,4.02,2.54,0.89,0.95,3.59,3.4,1.97,2.86,,,,,,
December,,,,,1.99,1.18,2.36,3.52,2.25,3.18,4.37,5.8,3.41,1.17,,,,,,
Total,,,,,23.02,22.23,26.17,25.65,26.77,28.52,29.92,27.78,30.62,22.66,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to station and church. Stated altitude about 40 ft too high.,,,,,,,,,,,,,,,,,,,,
Cannot find Ivanhoe.,,,,,,,,,,,,,,,,,,,,
