SHIELDHILL (GARDRUM MOSS),,,,,,,,,,,,
Grid ref,NS898751,Long,-3.766572,Lat,55.956240,,,,,,,
Station no,5340/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,1.57,4.38,2.50,2.17,5.95,2.75,1.10,3.73,,
February,,-999.00,2.14,3.70,3.24,1.71,2.64,2.08,1.33,3.23,,
March,,-999.00,0.86,3.59,1.53,2.29,3.12,1.87,1.72,1.92,,
April,,-999.00,3.01,2.18,1.38,0.71,1.31,1.30,3.44,3.22,,
May,,-999.00,2.14,4.12,3.84,2.67,2.05,3.32,0.99,2.69,,
June,,-999.00,1.68,3.68,1.95,3.22,1.79,3.39,2.13,1.65,,
July,,-999.00,5.84,2.73,1.11,4.56,3.16,7.50,4.49,2.81,,
August,,-999.00,2.92,5.89,1.17,6.41,3.84,3.90,1.04,4.42,,
September,,3.18,4.18,4.93,3.03,4.40,2.30,2.54,0.84,2.24,,
October,,2.92,2.33,9.57,2.94,2.71,4.01,2.55,3.83,3.72,,
November,,2.27,7.94,5.42,1.85,0.82,2.23,1.28,6.35,4.62,,
December,,3.31,4.72,6.20,6.24,4.76,4.34,5.59,5.53,4.83,,
Total,,-999.00,39.33,56.39,30.78,36.43,36.74,38.07,32.79,39.08,,
Calc annual,0.00,11.68,39.33,56.39,30.78,36.43,36.74,38.07,32.79,39.08,,
Difference,NaN,-1010.68,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
