BRETBY PARK BURTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK300225,Long,-1.556,Lat,52.7995,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.79,0.73,1.87,2.59,1.02,1.5,1.67,2.93,1.57,2.56,1.85,0.26,3,2.21,2.35,2.67,1.21,4.23,2.65,2.24,0.39,0.59,2.57,3.41,2.23,1.82,2.82,2.05,1.04,1.08,,2.04,1.46,1.49,,,,,,
February,0.77,2.6,0.69,0.61,2.62,1.96,1.92,1.5,2.37,2.37,1.65,1.37,2.33,0.79,2.04,1.18,2.87,3.22,1.16,2.72,2.21,4.23,1.74,2.97,1.39,2.68,0.53,0.63,0.78,1.56,,0.14,1.24,2.49,,,,,,
March,2.4,3.46,3.64,0.49,1.19,1.25,1.61,2.58,2.1,1.62,1.74,1.08,1.85,2.48,1.28,0.62,3.44,2.14,1.08,1.05,0.8,2.5,2.23,1.23,1.65,0.96,2.63,1.41,2.53,3.86,,1.32,0.88,0.39,,,,,,
April,0.76,0.86,1.91,1.44,1.95,0.58,0.44,2.88,0.92,1.54,0.76,3.89,2.96,0.47,1.54,0.75,2.94,3.11,1.59,2.56,2.41,1.36,4.03,2.3,1.77,2.8,2.26,1.38,2.16,3.57,,2.52,0.94,0.65,,,,,,
May,4.04,1.29,3.29,0.65,1.95,2.12,0.93,1.8,1.56,4.09,0.77,3.28,2.22,2.49,1.87,2.06,0.71,2.41,5.23,2.72,1.89,1.58,2.26,1.47,1.24,2.6,5.82,1.69,0.6,4.38,,2.65,2,2.56,,,,,,
June,5.93,2.27,2.54,5.88,1.07,1.84,4.64,2.13,0.2,0.95,0.97,2.92,5.43,3.36,1.33,3.52,2.72,1.71,2.89,4.87,3.9,2.61,5.12,3.37,2.14,3.61,2.43,1.51,1.72,0.98,,3.21,3.37,0.8,,,,,,
July,1.78,6.52,2.38,0.38,0.85,2.57,2.78,1.98,0.47,0.75,1.48,4.2,3.78,2.99,1.37,7.81,1.31,4.21,1.41,3.84,5.93,1.46,3.89,2.47,3.19,0.32,2.72,1.53,6.44,3.02,,2.27,1.79,2.5,,,,,,
August,7.96,0.82,1.39,3.14,0.97,3.83,4.6,2.96,3.66,1.09,1.61,1.25,4.45,4.14,2.48,2.77,2.71,4.05,5.54,6.21,2.6,4.95,1.96,1.67,0.89,1.96,1.78,1.73,2.81,4.04,,4.37,2.75,1.97,,,,,,
September,2.57,2.31,4.14,2.65,3.44,0.19,6.13,2.89,2.24,5.42,1.15,5.01,3,2.02,2.78,3.66,4.06,2.06,2.64,3.36,3.98,2.2,2.18,4.98,3.19,3.71,2.25,2.12,1.4,2.71,,1.38,3.44,2.27,,,,,,
October,2.66,1.7,2.61,3.34,1.93,6.73,3.15,3.53,2.89,1.38,4.8,2.13,5.26,2.03,2.65,6.72,2.48,1.99,2.9,1.43,5.38,3.34,6.02,2.55,1.23,5.08,4.73,2.23,0.6,3.13,,5.47,2.77,2.11,,,,,,
November,2.7,2.29,0.89,1.34,2.71,1.96,2.43,1.08,1.52,1.43,1.85,1.32,2.95,2.17,2.75,4.29,2.58,3.43,2.69,1.46,2.15,2.65,3.71,3.8,0.92,3.38,2.1,2.04,4.27,1.05,,2.08,1.3,0.8,,,,,,
December,2.57,1.68,1.29,1.29,1.15,0.83,1.97,1.6,7.12,4.08,2.86,1.17,4.09,0.31,2.71,0.89,4.37,2.34,2.39,0.55,3.86,2.61,4.69,1.32,2.74,0.75,3.46,2.66,2.06,2.26,,3.77,1.72,2.94,,,,,,
Total,36.93,26.53,26.64,23.8,20.85,25.36,32.27,27.86,26.62,27.28,21.49,27.88,41.32,25.46,25.15,36.94,31.4,34.9,32.17,33.01,35.5,30.08,40.4,31.54,22.58,29.67,33.53,20.98,26.41,31.64,,31.22,23.66,20.97,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 1883 has been corrected to 3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
