HILDENBOROUGH-OLD-SCHOOL-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5501150366,Long,0.21882534,Lat,51.231433,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,348/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.49,1.13,4.66,5.6,3.47,4.51,2.39,2.95,2.82,5.51,1.96,,2.07,2.34,3.4,1.14,1.23,3.5,2.47,1.27,1.51,3.51,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.23,4.03,2.02,4.83,0.85,1.6,2.02,2.66,1.06,1.87,1.1,,3.04,1.47,1.97,1.25,5.18,6.76,0.95,1.61,2.55,2.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.7,0.42,1.09,3.87,0.58,1.7,2.8,2.87,2.76,0.4,0.09,,1.45,5.22,0.82,0.98,1.19,3.81,3.29,0.42,2.64,1.38,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.95,3.08,1.87,2.81,0.53,2.42,2.02,1.63,1.6,1.28,1.6,,2.88,1.8,1.6,1.48,3.02,2.96,1.68,2.8,0.32,0.27,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.67,1.74,0.28,2.72,2.76,1.51,1.83,2.08,3.67,2.9,0.72,,2.7,1.3,1.97,1.65,1.23,2.07,0.99,1.45,1.78,3.98,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.89,2.4,2.84,2.23,0.79,0.82,0.37,1.66,0.13,1.23,1.19,,1.92,2.34,3.97,1.26,1.47,1.65,1.11,1.98,3.52,2.19,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.05,0.98,3.16,0.97,1.34,2.09,3.6,2.55,2.2,2.23,1.74,,1.67,0.63,1.27,0.39,2.17,2.65,0.68,2.06,3.27,1.58,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.13,3.65,1.21,4.51,1.75,2.52,0.13,4.18,2.63,1.76,3.33,,4.87,0.26,3.92,1.29,2.6,5.77,3.2,1.88,3.66,0.88,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.39,4.53,2.3,1.95,2.18,1.24,1.32,0.6,1.97,1.31,2.72,,3.17,1.59,1.5,1.09,2.99,3.33,3.03,3.82,2.33,2.94,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.1,3.8,2,2.14,3.19,7.75,3.68,1.18,3.09,2.48,4.81,,1.54,0.41,1.94,7.65,0.22,1.22,3.07,3.13,2.44,5.54,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
