UPHALL MIDDLETON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT061716,Long,-3.504397,Lat,55.928269,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,1.69,3.29,1.65,1.72,0.91,4.37,1.44,1.25,0.66,3.15,1.28,1.83,0.93,1.55,5.86,4.43,2.43,2.35,6,2.93,1.36,3.67,1.8,4.25,4.4,4,1.74,1.6,2.76,2.6,1.69,4.54,1.95,3.05,2.71,3.74,5.42,2.64,2.35,2.99,3.46,4.05,3.6,5.78,0.96,4.65,2.43,4.85,3.15,3.28,1.69,4.3,3.09,5.12,5.19,1.93,1.9,4.09,3.01,3.5,3.14,2.99,2.87,6.63,3.03,2.09,3.38,3.55,0.78,3.6,1.78,1.45,4.89,2.1,0.73,2.86,,,,,,,,,,,,,,,,,,,
February,,,,,,2.97,1.29,1.58,0.97,0.39,0.25,0.26,1.67,2.78,7.78,0.37,1.03,2.07,1.93,1.48,3.73,0.97,0.9,5.94,2.5,1.82,1.5,2.36,1.88,1.45,3.35,4.4,2.26,1.79,3,2.82,5.6,0.73,4.12,1.35,4.02,0.44,2.4,2.62,0.89,3.32,3.85,1.72,4.25,1.1,0.5,2.33,0.13,2.16,0.21,2.81,2.73,3.95,1.03,3.39,1.01,3.77,1.49,2.36,1.08,4.04,2.63,1.5,3.37,3.14,3.11,2.09,0.61,0.86,1.57,1.87,1.92,3.37,2.34,0.94,2.7,,,,,,,,,,,,,,,,,,,
March,,,,,,1.75,2.72,2.4,2.63,1.06,1.88,1.56,0.65,0.96,2.31,2.88,2.68,3.81,1.36,3.69,1.36,2.28,1.62,6.7,1.61,3.02,2.77,3.31,4.34,4.6,1.68,1.72,3.26,4.62,3.35,1.89,3.46,1.97,0.89,1.59,3.42,3.7,1.3,0.82,1.25,2.09,2.62,2.11,2.15,0.52,2.5,1.52,2.39,1.34,3.19,1.28,2.1,2.27,2.03,3.93,3.06,3.08,1.48,2,0.73,1.41,2.06,3.64,1.86,1.04,2.62,3.41,1.32,0.77,1.84,1.64,1.21,2.36,1.34,0.93,1.47,,,,,,,,,,,,,,,,,,,
April,,,,,,1.27,0.86,1.37,1.72,2.64,0.79,0.46,0.66,0.97,1.72,1.2,1.09,1.21,2.01,3.63,1.52,2.09,1.19,1.32,3.75,1.91,1,1.47,2,3.22,3.83,2.27,0.59,2.63,1.9,1.84,2.68,1.84,0.67,2.94,1.91,0.93,2.25,2.78,1.46,4.43,1.81,1.71,1.18,1.98,0.9,2.52,3.65,1.54,3.83,3.19,1.1,1.38,0.34,1.59,2.51,1.27,2.58,1.27,2.17,1.62,0.65,4.6,2.13,1.97,2.81,2.97,1.27,2.74,1.45,0.73,0.54,1.33,1.72,1.95,1.54,,,,,,,,,,,,,,,,,,,
May,,,,,,3.05,4.28,1.29,1.77,1.81,0.84,1.48,3.5,1.68,2.99,0.67,0.51,1.67,2.09,4.03,0.96,2.48,2.37,1.75,3.35,0.97,5.15,3.68,2.7,2.41,1.9,1.85,1.2,1.62,2.2,1.86,4.39,1.57,2.72,0.54,3.17,2.26,1.94,1.35,4.92,4.77,2.85,1.7,1.81,1.83,1.65,2.97,3.44,2.23,1.46,0.79,0.88,2.19,4.74,0.62,1.7,5.45,1.86,3.47,2.72,3.89,2.14,2.92,1.75,1.83,1.66,2.41,0.9,1.84,4.88,2.97,1.52,2.2,2.76,1.59,1.46,,,,,,,,,,,,,,,,,,,
June,,,,,,0.63,1.77,0.47,3.78,1.01,3.62,0.66,3.79,2.04,2.88,3.05,3.94,4.45,1.49,1.82,2.74,1.99,2.62,1.6,1.6,0.52,1.6,3.31,1.44,2.17,1.17,2.33,4.5,2.17,2,1.7,2.88,2.53,0.75,2.29,1.34,0.23,1.8,0.96,2.57,0.38,3.08,3.5,5.27,2.28,1.82,4.99,1.55,1.59,2.65,2.3,1.58,1.77,3.76,1.61,0.46,0.63,1.06,2.91,3.23,2.46,2.06,3.17,5.21,0.81,1.56,2.27,3.02,1.33,2.25,1.39,3.23,1.76,4.46,1.97,1.15,,,,,,,,,,,,,,,,,,,
July,,,,,,1.05,2.53,2.39,4.61,2.82,3.66,2.04,1.3,1.83,2.52,3.43,4.87,1.49,0.57,4.89,3.21,1.1,3.23,3.93,2.15,2.3,1.52,2.5,3.2,3.53,3.4,1.89,2.56,1.02,2.43,3.97,3.58,1.83,2.99,1.06,3.47,2.48,3.78,3.24,3.52,2.41,3.04,2.88,2.17,2.86,3.05,5.15,2.47,4.18,3.36,1.18,4.79,3.58,2.93,3.93,6.61,3.18,2.3,2.02,2.98,3.09,3.44,2.71,3,2.01,4.33,4.28,2.17,4,2.42,1.16,4.5,3.76,7.54,3.34,2.43,,,,,,,,,,,,,,,,,,,
August,,,,,,2.3,1.49,2.46,1.99,7.75,3.91,5.12,6.73,3.26,4.78,5.25,2.35,3.42,3.96,0.51,4.66,3.59,1.52,4.4,3.98,3.09,6.7,4.35,2.57,2.35,5.15,1.7,4.25,1.05,2.1,3.41,4.35,5.27,2.2,2.82,5.77,5.09,1.49,4.84,3.19,2.74,2.22,7.3,4.71,4.3,5.49,4.03,0.6,1.69,3.31,1.65,1.61,4.88,1.9,1.07,1.24,4.04,2.37,4.45,3.82,2.73,3.81,0.07,9.51,3.98,3.64,6.22,3.88,2.82,5.33,1.21,5.58,2.78,4.85,0.66,4.88,,,,,,,,,,,,,,,,,,,
September,,,,,,3.25,3.2,4.45,0.68,0.97,2.19,4.72,2.4,1.51,0.34,1.23,4.42,2.44,3.61,4.22,2.63,1.11,1.41,2.26,1.72,2.5,1.05,0.97,3.8,2.25,0.89,1.4,2.62,2.28,0.67,2.1,1.49,1.72,4.8,2.72,1.58,1.83,1.78,3.47,3.87,4.43,3.41,7.75,3.02,0.74,3.49,1.59,3.18,1.88,2.47,4.32,3.06,2.66,3.61,1.96,2.78,0.81,3.84,3.37,3.9,5.27,4.56,2.01,3.67,1.81,6.65,2.11,2.19,2.42,3.41,1.39,3.79,1.7,4.28,0.7,1.68,,,,,,,,,,,,,,,,,,,
October,,,,,,1.63,4.33,1.83,1.41,3.1,2.22,2.24,4.11,3.46,2.82,3.62,3.36,1.31,4.98,2.34,4.62,2.15,1.46,7.17,1.11,2.16,6.5,8.84,1,4.72,2.07,3.25,2.85,2.01,1.47,1.88,6.12,3.37,4.12,1.66,0.8,4.05,1.72,3.14,3.83,2.51,4.37,3.95,3.89,3.83,3.86,2.3,5.32,2.6,4.75,7.09,2.66,4.42,6.52,2.64,3.22,3.67,3.49,4.56,3.62,4.16,0.68,1.48,2.35,5.07,2.61,0.7,2.02,1.28,7.6,1.88,3.28,2.9,1.89,2.75,2.9,,,,,,,,,,,,,,,,,,,
