"FRITTON WARREN",,,,,,,,,,,,
Grid ref,TM463998,Long,1.630713,Lat,52.540305,,,,,,,
Station no,1384,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,2.60,0.90,2.06,1.91,3.55,1.44,1.93,3.19,4.34,,
February,3.75,1.05,1.65,2.04,1.59,2.06,2.15,3.23,0.20,1.56,,
March,3.02,2.47,0.34,2.23,1.48,0.68,1.73,1.80,0.66,1.31,,
April,3.80,1.00,2.43,0.28,0.22,0.77,0.57,1.38,2.20,0.69,,
May,1.43,1.19,1.09,1.63,1.77,0.76,1.74,3.04,0.39,0.31,,
June,1.39,1.18,1.32,2.48,2.12,1.94,2.74,3.54,0.58,1.27,,
July,2.94,1.47,2.53,1.99,0.23,2.25,2.69,2.88,0.71,2.34,,
August,2.66,3.92,2.22,4.47,1.15,3.08,2.27,3.17,2.44,4.03,,
September,1.94,3.18,2.07,1.48,1.12,1.18,2.84,1.87,0.27,4.29,,
October,0.71,2.02,2.03,2.46,4.40,3.17,1.38,2.29,2.70,7.94,,
November,3.41,3.99,1.17,4.27,0.82,1.32,2.21,1.09,3.08,3.33,,
December,1.58,3.04,0.95,1.81,1.47,1.25,2.14,3.10,3.05,4.08,,
Total,29.09,27.11,18.70,27.20,18.28,22.01,23.90,29.32,19.47,35.49,,
Calc annual,29.09,27.11,18.70,27.20,18.28,22.01,23.90,29.32,19.47,35.49,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
