GUILDFORD-HILLSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ003495,Long,-0.56366,Lat,51.23597,Elevation,250,ft,,,,,,,,,,,,
Station no,RR8421,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.98,0.93,2.64,3.6,1.31,4.92,1.25,1.74,1.2,2.34,1.36,3.46,,,,,,,
February,,2.23,1,1.65,3.44,0.7,2.33,1.49,1.1,0.53,3.53,1.56,2.52,,,,,,,
March,,1.65,1.74,2.94,1.47,3.98,1.59,1.04,3.14,4.54,1.37,2.12,4.05,,,,,,,
April,,1.66,1.09,2.18,1.25,1.51,0.51,4.43,2.99,2.27,1.81,1.87,0.07,,,,,,,
May,,0.57,1.96,3.06,3.65,0.56,1.72,2.34,2.32,1.99,2.18,1.23,1.62,,,,,,,
June,,2.14,4.08,5.28,0.62,5.48,1.79,2.14,1.69,3.58,3.04,2.38,,,,,,,,
July,,1.42,1.14,4.61,1.32,0.64,0.48,1.63,2.17,2.83,2.81,1.11,,,,,,,,
August,,1.55,3.65,4.41,1.83,3.4,1.8,2.85,4.1,2.21,3.43,1.07,,,,,,,,
September,,1.33,0.59,3.82,1.73,2.38,1.77,0.73,1.67,2.94,0.63,1.4,,,,,,,,
October,,2.31,1.81,6.56,2.27,1.89,4.72,5.17,2.77,5.5,4.53,3.95,,,,,,,,
November,,0.51,2.96,2.03,1.68,4.19,5.09,2.13,0.93,0.64,3.23,3.74,,,,,,,,
December,,4.31,1.3,2.21,2.86,0.77,2.21,3.35,2.57,4.07,5.21,7.65,,,,,,,,
Total,,20.66,22.25,41.39,25.72,26.81,28.93,28.55,27.19,32.3,34.11,29.44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hillside Harvey Road Guildford,,,,,,,,,,,,,,,,,,,,
This matches distance from named locations - Hillside now appears to be flats ,,,,,,,,,,,,,,,,,,,,
