ROTHBURY (BRINKBURN PRIORY) (NEW GAUGE) 5inch,,,,,,,,
Grid ref,NZ116983,Long,-1.818944,Lat,55.278704,Elevation,257,ft
Station no,3588/5,,,,,,,
,,,,,,,,
,1929,1930,1931,1932,,,,
January,-999,,,,,,,
February,,,,,,,,
March,,,,,,,,
April,,,2.46,,,,,
May,,,2.31,,,,,
June,,0.91,2.7,,,,,
July,,2.83,3.02,,,,,
August,,4.46,2.75,,,,,
September,,3.05,2,,,,,
October,,1.97,1.01,,,,,
November,,2.74,4.71,,,,,
December,,1.96,0.97,,,,,
Total,-999,,,,,,,
,,,,,,,,
TYRain_1920-1930_24_pt1-page-185.csv,,,,,,,,
TYRain_1931-1940_20_pt1-page-213.csv,,,,,,,,
"Jan, Feb,Mar 1931 estimated",,,,,,,,
