UPPER CALDER,,,,,,,,,,
Grid ref,NS265647,Long,-4.772637,Lat,55.844216,Elevation,1337,ft,,
Station no,5291/5/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,8,12,7.7,,11.6,11.4,4.2,7.4
February,,,5.35,9,5.2,,5.55,7.7,4.47,11.05
March,,,2.4,7,3,,11.1,3.1,6.97,4.4
April,,,5,6.15,7.5,,5,3.83,6.75,10.67
May,,2.5,4.5,5.55,6.85,,3.45,5.8,2.5,4.45
June,,6.7,2.4,9.15,6.37,,4.43,4.85,5.23,5.55
July,,7.88,10.3,8.04,1.7,,9.85,7.61,9,8.7
August,,10.49,8.4,9.7,2,,8.55,7.55,3.25,6.45
September,,6.9,11.95,13.7,8.45,,6.85,6.5,2.75,5.25
October,,11.4,7.95,16.15,7.05,,11.23,7.65,10.45,5.92
November,,3.4,13.1,14.75,5.5,,5.05,4.35,10.65,12.68
December,,10.2,9.65,12,13.05,,10.63,11.05,14.8,11.45
Total,,,89,123.19,74.37,,93.29,81.39,81.02,93.97
,,,,,,,,,,
BR 1953 P,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 P () FM JJAS Est,,,,,,,,,,
BR 1956 NP TME Deleted,,,,,,,,,,
BR 1957 P JFM Est,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5291/5/7,,,,,,,,,
Midas,13641,,,,,,,,,
Hyd Stn,659123,,,,,,,,,
