UPPER CALDER,,,,,,,,,,,,
Grid ref,NS265647,Long,-4.772637,Lat,55.844216,,,,,,,
Station no,5291/5/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,8.00,12.00,7.70,6.45,11.60,11.40,4.20,7.40,,
February,,,5.35,9.00,5.20,3.30,5.55,7.70,4.47,11.05,,
March,,,2.40,7.00,3.00,5.00,11.10,3.10,6.97,4.40,,
April,,,5.00,6.15,7.50,2.30,5.00,3.83,6.75,10.67,,
May,,2.50,4.50,5.55,6.85,6.00,3.45,5.80,2.50,4.45,,
June,,6.70,2.40,9.15,6.37,6.55,4.43,4.85,5.23,5.55,,
July,,7.88,10.30,8.04,1.70,8.90,9.85,7.61,9.00,8.70,,
August,,10.49,8.40,9.70,2.00,8.50,8.55,7.55,3.25,6.45,,
September,,6.90,11.95,13.70,8.45,7.80,6.85,6.50,2.75,5.25,,
October,,11.40,7.95,16.15,7.05,6.20,11.23,7.65,10.45,5.92,,
November,,3.40,13.10,14.75,5.50,5.65,5.05,4.35,10.65,12.68,,
December,,10.20,9.65,12.00,13.05,13.30,10.63,11.05,14.80,11.45,,
Total,,,89.00,123.19,74.37,79.95,93.29,81.39,81.02,93.97,,
Calc annual,0.00,59.47,89.00,123.19,74.37,79.95,93.29,81.39,81.02,93.97,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
