MINCHINHAMPTON-THE-COIGNE,,,,,,,,,,
Grid ref,SO874007,Long,-2.1837359,Lat,51.704896,Elevation,640,ft,,
Station no,RR8199,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,3.28,5.95,2.85,5.51,1.77,4.48
February,,,,,2.66,2.22,4.83,1.6,2.41,5.25
March,,,,,1.7,1.64,4.73,3.1,2.3,1.72
April,,,,,2.22,2.51,3.5,3.62,4.33,2.88
May,,,,,0.79,2.92,0.69,2.73,6.1,3.14
June,,,,,0.86,4.41,1.98,1.44,3.47,5.61
July,,,,,1.38,6.45,1.31,3.3,1.97,3.29
August,,,,,3.18,1.31,4.15,4.95,5.7,7.21
September,,,,,5.79,3.77,6.58,3.43,3.26,3.98
October,,,,,4.58,7.77,2.2,3.08,4.77,1.18
November,,,,,3.31,5.25,4.74,4.73,3.45,0.52
December,,,,,4.73,1.98,8.5,2.34,1.77,1.11
Total,,,,,34.48,46.18,46.06,39.83,41.3,40.37
