"LOCH NESS (ABERCHALDER)",,,,,,,,,,,,
Grid ref,NH552201,Long,-4.401507,Lat,57.248600,,,,,,,
Station no,5706,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.73,4.27,1.74,2.90,1.99,2.52,4.82,3.34,,,,
February,2.99,1.62,2.00,2.23,3.85,2.86,2.96,-999.00,,,,
March,2.16,1.70,1.80,2.39,1.24,1.61,3.50,,,,,
April,5.61,1.29,3.66,1.31,0.88,1.97,1.06,,,,,
May,1.09,2.55,3.09,4.78,3.02,2.09,1.09,,,,,
June,2.57,2.11,4.21,2.02,1.03,2.96,1.84,,,,,
July,3.24,2.34,3.80,2.80,0.62,7.01,5.28,,,,,
August,4.78,4.60,2.99,2.65,0.43,8.64,5.23,,,,,
September,1.33,3.26,2.40,3.41,3.59,4.70,2.53,,,,,
October,1.48,3.73,1.17,7.05,-999.00,4.36,3.31,,,,,
November,4.73,2.88,4.47,4.44,0.89,2.71,2.59,,,,,
December,6.67,4.03,4.44,7.58,6.42,6.63,5.03,,,,,
Total,41.38,34.38,35.77,43.56,29.83,48.06,39.24,-999.00,,,,
Calc annual,41.38,34.38,35.77,43.56,23.96,48.06,39.24,3.34,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,5.87,-0.00,0.00,-1002.34,NaN,NaN,,
