"STRATHERRICK, ABERCHALDER LODGE",,,,,,,,,,,,
Grid ref,NH342033,Long,-4.737953,Lat,57.090730,,,,,,,
Station no,5706,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.34,1.50,2.92,6.08,3.29,2.68,5.61,2.49,4.05,3.28,,
February,0.76,3.38,1.81,6.35,2.05,2.65,2.61,2.49,3.25,2.05,,
March,,2.85,2.68,6.75,1.05,4.71,4.03,3.13,7.18,1.70,,
April,2.97,2.95,1.62,1.49,4.68,1.42,2.61,1.91,1.76,1.69,,
May,1.25,0.93,3.54,2.50,3.05,2.31,3.74,2.31,1.50,2.25,,
June,1.45,3.28,2.59,1.84,1.92,0.84,0.95,3.69,1.72,1.08,,
July,5.46,2.38,2.13,3.67,0.88,1.94,1.84,1.69,2.72,3.50,,
August,3.11,3.03,2.83,2.68,4.62,3.52,3.47,3.27,3.70,2.58,,
September,2.08,1.26,1.38,3.91,2.51,1.97,1.55,1.02,6.60,2.40,,
October,3.41,2.62,2.40,6.16,1.46,3.45,6.99,3.27,0.80,6.20,,
November,2.71,2.28,0.68,3.21,2.28,4.87,4.21,3.75,2.40,2.10,,
December,6.45,5.66,4.52,1.35,3.99,2.52,2.46,2.06,3.00,2.60,,
Total,,32.12,29.10,45.99,31.78,32.88,40.07,31.08,38.68,31.43,,
Calc annual,33.99,32.12,29.10,45.99,31.78,32.88,40.07,31.08,38.68,31.43,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
