BOSTON - A little to the south of Sleaford Road,,,,,,,,,,,,
Grid ref,TF320438,Long,-0.036,Lat,52.975,Elevation,9,ft,,,,
Station no,RR4246,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,1.68,1.81,2.96,3.09,1.77,2.59,0.98,2.51,2.03,2.47,1.49,1.96
February,2.67,1.24,1.22,0.62,0.70,2.11,4.37,0.94,1.21,2.43,0.76,0.47
March,0.59,2.15,1.88,2.89,2.53,1.36,4.57,1.22,0.49,2.36,2.50,0.72
April,1.93,0.80,0.22,1.91,0.85,0.40,1.76,2.42,1.68,2.30,3.81,0.98
May,2.92,0.89,2.45,2.10,0.80,1.63,1.67,1.30,3.29,0.67,2.06,1.27
June,1.76,3.04,3.54,1.04,2.70,0.70,2.63,1.63,0.81,1.03,2.40,0.72
July,2.72,0.14,4.39,0.87,1.22,5.81,2.04,1.23,2.71,2.46,2.93,0.39
August,3.32,3.03,6.09,0.71,1.05,2.74,2.82,3.95,1.25,2.67,1.67,2.88
September,1.22,2.19,1.59,1.61,1.15,1.16,1.22,0.95,3.94,1.44,1.62,0.70
October,2.05,2.72,1.73,6.21,2.14,1.38,2.12,3.05,1.83,1.74,1.67,2.25
November,2.70,2.69,2.76,1.88,2.08,3.10,3.14,1.26,1.97,1.82,0.37,1.31
December,4.37,3.94,3.31,0.64,4.71,5.10,2.99,1.13,2.03,3.76,2.47,1.21
Total,27.93,24.64,32.14,23.57,21.70,28.08,30.31,21.59,23.24,25.15,23.75,14.86
,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/035,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/034,,,,,,,,,,,,
,,,,,,,,,,,,
"# The grid reference is based on the railway station and church directions, which indicate a site a little south of Sleaford Road.",,,,,,,,,,,,
"# At the start of May 1910, the gauge moved 400 yards south-west after only four months in operation.",,,,,,,,,,,,
"# This suggests that the site for these initial months was on Sleaford Road (at Holland Cottage, not found on a map).",,,,,,,,,,,,
