THORVERTON-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SS924020,Long,-3.52735,Lat,50.80777,Elevation,170,ft,,,,,,,,,,,,
Station no,1782/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.74,1.11,4.93,6.75,4.32,6.53,2.3,5.26,4.35,7.74,2.34,,,,,,
February,,,,0.29,4.09,3.22,6.24,1.13,1.4,3.85,3.18,0.37,1.58,0.74,,,,,,
March,,,,2.86,1.58,3.58,4.53,0.22,1.24,2.3,2.13,2.75,1.22,0.13,,,,,,
April,,,,3.29,4.62,2.77,3.55,0.12,2.85,3.74,1.07,1.28,0.78,2.13,,,,,,
May,,,,1.51,2.12,0.74,2.44,2.62,0.36,1.07,2.21,5.26,2.4,0.71,,,,,,
June,,,,1.95,2.36,1.43,0.87,1.2,2.14,0.78,1.58,0.56,2.26,1.95,,,,,,
July,,,,2.13,0.47,6.16,2.34,2.56,5.03,3.49,0.83,1.15,2.77,1.76,,,,,,
August,,,,3.09,2.37,0.14,1.89,5.27,2.68,0.27,3.97,3.62,2.37,3.83,,,,,,
September,,,,2.435,3.4,4.13,2.18,1.03,0.73,1.83,0.89,2.74,3.99,1.96,,,,,,
October,,,,2.88,4.48,1.46,3.8,3.45,4.01,4.65,1.73,2.3,3.94,4.58,,,,,,
November,,,,1.48,6.48,3.35,2.57,5.64,7.27,6.78,2.3,1.08,3.14,4.75,,,,,,
December,,,,11.48,5.34,2.85,3.44,4.37,2.12,3.21,2.26,5.18,3.28,3.62,,,,,,
Total,,,,36.135,38.42,34.76,40.6,31.93,36.36,34.27,27.41,30.64,35.47,28.5,,,,,,
,,,,,,,,,,,,,,,,,,,,
1931 Gauge moved 52 yds W,,,,,,,,,,,,,,,,,,,,
1931-1932 Note says return in file,,,,,,,,,,,,,,,,,,,,
Elevation on sheet of 194ft is too high unless gauge 100yds further W which is not part of the school,,,,,,,,,,,,,,,,,,,,
