WOOPERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU039202,Long,-1.9398569,Lat,55.475608,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.41,3.42,2.38,4.72,2.3,2.86,2.35,1.83,1.67,1.87,1.81,5.29,2.92,3.14,4.72,1.72,4.48,1.62,2.94,,,,,,,
February,,,,,0.99,5.51,2.86,0.87,1.68,1.92,2.28,2.37,0.79,3.75,0.87,1.91,3.56,3.62,1.13,2.1,2.15,4.61,1,0.8,,,,,,,
March,,,,,0.82,2.25,1.11,2.95,3.94,0.03,2.71,1.45,2.88,0.86,4.98,1.57,2,4.73,0.78,2.96,2.51,2.47,1.68,0.99,,,,,,,
April,,,,,1.61,3.46,1.77,2.12,1.24,1.61,1.58,3.24,2.01,1.63,5.36,3.76,1.52,1.61,0.51,1.13,1.21,1.26,0.63,1.01,,,,,,,
May,,,,,5.02,3.36,2.35,2.02,1.6,1.18,1.45,2.44,2.98,1.6,1.64,1.04,1.88,3.79,2.45,1.08,0.65,1.25,1.78,3.42,,,,,,,
June,,,,,2.68,0.12,5.28,3.42,5.58,1.67,1.15,4,1.22,1.95,2.64,3.29,3.34,1.36,3.49,1.26,0.25,,1.29,0.8,,,,,,,
July,,,,,3.87,1.76,4.08,3.56,1.6,3.57,6.08,3.91,3.22,2.38,1.43,0.72,3.55,2.02,4.12,1.88,5.91,1.01,2.46,1.17,,,,,,,
August,,,,,1.84,2.11,2.59,4.61,4.59,4.81,5.05,2.96,1.2,1.76,4.16,4.13,1.41,1.99,2.78,1.07,0.31,3.23,2.6,4.19,,,,,,,
September,,,,,2.9,5.07,3.35,4.94,1.47,0.52,3.75,3.02,4.4,1.59,1.77,3.35,3.43,1.71,2,1.27,1.45,0.51,2.66,1.46,,,,,,,
October,,,,,3.79,2.13,4.96,2.53,3.54,3.12,2.28,1.27,5.25,4.65,5.73,4.27,1.61,2.69,5.08,3.2,2.04,3.33,3.51,2.02,,,,,,,
November,,,,,1.05,2.75,5.46,3.52,3.86,3.83,3.98,4.86,1.15,4.15,4.93,3.96,3.5,1.26,3.55,1.91,3.35,,0.41,1.89,,,,,,,
December,,,,,2.99,3.89,0.72,3.54,2.09,5.15,3.75,1.75,1.97,1.83,5.76,2.93,1.56,5.69,2.81,1.42,2.55,0.9,1.51,0.62,,,,,,,
Total,,,,,,34.82,37.95,36.46,35.91,29.71,36.92,33.62,28.9,27.82,41.14,32.74,32.65,33.39,31.84,24,24.1,,21.15,21.31,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1924 Jan 1.8, and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Feb mistranscribed from record - corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jun .25, Nov 3.28 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
