EASTNOR (BRONSIL),,,,,,,,,,
Grid ref,SO748373,Long,-2.368752,Lat,52.033529,Elevation,430,ft,,
Station no,2257/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.81
February,,,,,,,,,,2.29
March,,,,,,,,,,2.19
April,,,,,,,,,,1.35
May,,,,,,,,,0.8,1.58
June,,,,,,,,,1.22,2.33
July,,,,,,,,,1.75,2.24
August,,,,,,,,,0.87,3.03
September,,,,,,,,,0.15,4.39
October,,,,,,,,,2.3,7.14
November,,,,,,,,,4.69,4.16
December,,,,,,,,,,2.49
Total,,,,,,,,,,38
,,,,,,,,,,
"CEDA 10344 EASTNOR: BRONSIL HOUSE, until 1983",,,,,,,,,,
